feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,7,high,color,feet,Y,G,C,F,40,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,1,2,1,low,color,feet,Y,G,C,F,40,1_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,1,3,3,low,color,feet,Y,G,C,F,40,3_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,1,4,6,high,color,feet,Y,G,C,F,40,6_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,2,5,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,2,6,5,low,color,feet,Y,G,C,F,40,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,2,7,7,high,color,feet,Y,G,C,F,40,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,2,8,10,high,color,feet,Y,G,C,F,40,10_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,3,9,5,low,color,feet,Y,G,C,F,40,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,3,10,8,high,color,feet,Y,G,C,F,40,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,3,11,7,low,color,feet,Y,G,C,F,40,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,3,12,10,high,color,feet,Y,G,C,F,40,10_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,4,13,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,4,14,5,high,color,feet,Y,G,C,F,40,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,4,15,7,high,color,feet,Y,G,C,F,40,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,4,16,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","high,high,low,low"
