feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,1,low,color,feet,G,Y,C,F,118,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,1,2,8,high,color,feet,G,Y,C,F,118,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,1,3,6,low,color,feet,G,Y,C,F,118,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,1,4,5,high,color,feet,G,Y,C,F,118,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,2,5,7,high,color,feet,G,Y,C,F,118,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,2,6,3,low,color,feet,G,Y,C,F,118,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,2,7,5,high,color,feet,G,Y,C,F,118,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,2,8,4,low,color,feet,G,Y,C,F,118,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,3,9,10,high,color,feet,G,Y,C,F,118,10_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,3,10,3,low,color,feet,G,Y,C,F,118,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,3,11,4,low,color,feet,G,Y,C,F,118,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,3,12,7,high,color,feet,G,Y,C,F,118,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,4,13,10,high,color,feet,G,Y,C,F,118,10_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,4,14,5,high,color,feet,G,Y,C,F,118,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,4,15,5,low,color,feet,G,Y,C,F,118,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,4,16,1,low,color,feet,G,Y,C,F,118,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
