feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,1,2,4,high,color,feet,G,Y,C,F,42,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,1,3,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,1,4,10,high,color,feet,G,Y,C,F,42,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,5,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,2,6,6,high,color,feet,G,Y,C,F,42,6_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,2,7,7,high,color,feet,G,Y,C,F,42,7_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,5,low,color,feet,G,Y,C,F,42,5_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,3,10,10,high,color,feet,G,Y,C,F,42,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,3,12,4,high,color,feet,G,Y,C,F,42,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,4,13,9,high,color,feet,G,Y,C,F,42,9_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,14,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,4,15,8,high,color,feet,G,Y,C,F,42,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,3,low,color,feet,G,Y,C,F,42,3_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high"
