feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,4,low,color,feet,Y,G,C,F,104,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,1,2,8,high,color,feet,Y,G,C,F,104,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,1,3,6,low,color,feet,Y,G,C,F,104,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,4,7,high,color,feet,Y,G,C,F,104,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,2,5,3,low,color,feet,Y,G,C,F,104,3_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,6,8,high,color,feet,Y,G,C,F,104,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,2,7,1,low,color,feet,Y,G,C,F,104,1_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,6,high,color,feet,Y,G,C,F,104,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,9,7,high,color,feet,Y,G,C,F,104,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,10,6,high,color,feet,Y,G,C,F,104,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,3,11,1,low,color,feet,Y,G,C,F,104,1_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,3,12,4,low,color,feet,Y,G,C,F,104,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,4,13,2,low,color,feet,Y,G,C,F,104,2_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,4,14,5,low,color,feet,Y,G,C,F,104,5_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,8,high,color,feet,Y,G,C,F,104,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,6,high,color,feet,Y,G,C,F,104,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high"
