feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,7,high,color,feet,G,Y,C,F,50,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,1,2,3,low,color,feet,G,Y,C,F,50,3_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,1,3,7,high,color,feet,G,Y,C,F,50,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,1,4,5,low,color,feet,G,Y,C,F,50,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,2,5,8,high,color,feet,G,Y,C,F,50,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,2,6,4,low,color,feet,G,Y,C,F,50,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,2,7,5,low,color,feet,G,Y,C,F,50,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,2,8,7,high,color,feet,G,Y,C,F,50,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,3,9,1,low,color,feet,G,Y,C,F,50,1_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,3,10,3,low,color,feet,G,Y,C,F,50,3_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,3,11,6,high,color,feet,G,Y,C,F,50,6_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,3,12,6,high,color,feet,G,Y,C,F,50,6_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,4,13,9,high,color,feet,G,Y,C,F,50,9_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,4,14,3,low,color,feet,G,Y,C,F,50,3_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,4,15,1,low,color,feet,G,Y,C,F,50,1_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,4,16,7,high,color,feet,G,Y,C,F,50,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
