feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,4,high,color,feet,Y,G,F,C,56,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,1,2,7,high,color,feet,Y,G,F,C,56,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,1,3,5,low,color,feet,Y,G,F,C,56,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,1,4,5,low,color,feet,Y,G,F,C,56,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,5,6,high,color,feet,Y,G,F,C,56,6_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,6,7,high,color,feet,Y,G,F,C,56,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,2,7,4,low,color,feet,Y,G,F,C,56,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,2,8,1,low,color,feet,Y,G,F,C,56,1_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,9,high,color,feet,Y,G,F,C,56,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,3,10,4,low,color,feet,Y,G,F,C,56,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,9,high,color,feet,Y,G,F,C,56,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,3,12,10,low,color,feet,Y,G,F,C,56,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,13,7,high,color,feet,Y,G,F,C,56,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,4,14,4,low,color,feet,Y,G,F,C,56,4_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,4,15,1,low,color,feet,Y,G,F,C,56,1_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,16,8,high,color,feet,Y,G,F,C,56,8_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
