feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,7,high,color,feet,Y,G,F,C,80,7_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,G,G_C.png,training,1,2,2,low,color,feet,Y,G,F,C,80,2_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,Y,Y_C.png,training,1,3,10,high,color,feet,Y,G,F,C,80,10_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,G,G_F.png,training,1,4,5,low,color,feet,Y,G,F,C,80,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,Y,Y_C.png,training,2,5,10,high,color,feet,Y,G,F,C,80,10_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,Y,Y_F.png,training,2,6,9,high,color,feet,Y,G,F,C,80,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,G,G_F.png,training,2,7,5,low,color,feet,Y,G,F,C,80,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,G,G_C.png,training,2,8,2,low,color,feet,Y,G,F,C,80,2_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,G,G_F.png,training,3,9,4,low,color,feet,Y,G,F,C,80,4_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,Y,Y_C.png,training,3,10,9,high,color,feet,Y,G,F,C,80,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,G,G_C.png,training,3,11,3,low,color,feet,Y,G,F,C,80,3_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,Y,Y_F.png,training,3,12,10,high,color,feet,Y,G,F,C,80,10_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,Y,Y_C.png,training,4,13,8,high,color,feet,Y,G,F,C,80,8_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,Y,Y_F.png,training,4,14,9,high,color,feet,Y,G,F,C,80,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
C,G,G_C.png,training,4,15,5,low,color,feet,Y,G,F,C,80,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
F,G,G_F.png,training,4,16,5,low,color,feet,Y,G,F,C,80,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,low,high,high"
