feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,4,low,color,feet,G,Y,F,C,102,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,1,2,7,high,color,feet,G,Y,F,C,102,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,1,3,5,low,color,feet,G,Y,F,C,102,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,1,4,8,high,color,feet,G,Y,F,C,102,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,2,5,7,high,color,feet,G,Y,F,C,102,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,2,6,4,low,color,feet,G,Y,F,C,102,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,2,7,3,low,color,feet,G,Y,F,C,102,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,2,8,8,high,color,feet,G,Y,F,C,102,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,3,9,1,low,color,feet,G,Y,F,C,102,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,3,10,7,low,color,feet,G,Y,F,C,102,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,3,11,9,high,color,feet,G,Y,F,C,102,9_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,3,12,6,high,color,feet,G,Y,F,C,102,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,4,13,7,high,color,feet,G,Y,F,C,102,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,4,14,8,high,color,feet,G,Y,F,C,102,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,4,15,2,low,color,feet,G,Y,F,C,102,2_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,4,16,5,low,color,feet,G,Y,F,C,102,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
