consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,314.005,317.3329,1,[0.3328999996185189],[0.3328999996185189],Tail,317.3332,317.8312,0,22,22,22,1,T,Y,S,T_Y_S.png,training,3,23,6,high,4,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,317.8343,321.1462,1,[0.3164000005721732],[0.3164000005721732],Shape,321.1466,321.644,0,23,23,23,1,T,Y,C,T_Y_C.png,training,3,24,5,medium,4,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.6447,329.4219,1,[4.780500000000018],[4.780500000000018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,B,C,N_B_C.png,training,1,1,1,low,4,1_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,329.439,344.8093,"[7,7,1,4,4,2,7,5]",1,[0.5674999999999955],[0.5674999999999955],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8108,354.7993,4,9.669900001,Yes,4.1761,Yellow,7.2051,1,[5.83080000019072],[5.83080000019072],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.8004,392.3285,5,37.2442,Yes,2.195099999,Having a tail,4.9753,1,[35.351600000381495],[35.351600000381495],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.3289,394.8731,0,[],[],0,[],[],1,[394.88010000038145],[394.88010000038145],,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.8743,401.4502,3,6.2484,Yes,2.8501,Square,5.097599999,1,[3.7303999996185553],[3.7303999996185553],,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.4505,405.3809,,1,[0.9300000000000068],[0.9300000000000068],
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
