consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,264.6053,303.6569,1,[36.062200000017924],[36.062200000017924],"Looks like a young healthy reptile, but may have fertility issues due to genetics, illness, or simple probability.",303.6572,304.6584,0,4,4,4,1,C,W,W_C.png,training,2,5,5,low,stripes,feet,E,W,F,C,176,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,304.661,337.6636,1,[30.012599999994052],[30.012599999994052],"Looks like a health reptile, but may have fertility issues due to genetics, illness, or simple probability.",337.6637,338.6668,0,5,5,5,1,C,E,E_C.png,training,2,6,4,high,stripes,feet,E,W,F,C,176,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,338.6698,369.1146,1,[27.456199999988087],[27.456199999988087],"Looks like a healthy young reptile, but may have fertility issues due to genetics, illness, or simple probability.",369.1146,370.1175,0,6,6,6,1,F,W,W_F.png,training,2,7,3,low,stripes,feet,E,W,F,C,176,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,370.1204,421.1544,1,[48.045500000000004],[48.045500000000004],"Looks like a young healthy reptile, 7 is a high percentile of probability. Only by observing I cannot determine why her probability is higher.",421.1545,422.1553,0,7,7,7,1,F,E,E_F.png,training,2,8,7,high,stripes,feet,E,W,F,C,176,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,422.1583,454.6771,1,[29.525199999988104],[29.525199999988104],"Looks like a healthy reptile, fertility issues could be from genetics, illness, or simple probability. ",454.6772,455.6792,0,8,8,8,1,C,W,W_C.png,training,3,9,5,low,stripes,feet,E,W,F,C,176,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,455.6822,481.4157,1,[22.744500000000073],[22.744500000000073],"Looks like a healthy reptile, 8 is high for fertility, but there is no physical cause that explains it.",481.4157,482.4172,0,9,9,9,1,F,E,E_F.png,training,3,10,8,high,stripes,feet,E,W,F,C,176,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,482.4204,513.5338,1,[28.124099999994087],[28.124099999994087],"Looks like a healthy reptile, fertility issues could be related to genetics, illness, or simple probability. ",513.5339,514.5364,0,10,10,10,1,F,W,W_F.png,training,3,11,5,low,stripes,feet,E,W,F,C,176,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,514.5394,551.3857,1,[33.85809999999401],[33.85809999999401],"Looks like a healthy reptile, there are no physical signs as to why she is more fertile than the others.",551.3858,552.3865,0,11,11,11,1,C,E,E_C.png,training,3,12,7,high,stripes,feet,E,W,F,C,176,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,552.3885,579.1425,1,[23.76329999998211],[23.76329999998211],"Looks like a young healthy reptile, fertility issues could be related to genetics, illness, or simple probability.",579.1426,580.1447,0,12,12,12,1,F,W,W_F.png,training,4,13,3,low,stripes,feet,E,W,F,C,176,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,580.1477,604.3594,1,[21.223100000023805],[21.223100000023805],"Looks like a healthy reptile, there are no physical signs that explain why she is more fertile than the others.",604.3594,605.3616,0,13,13,13,1,F,E,E_F.png,training,4,14,8,high,stripes,feet,E,W,F,C,176,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,605.3635,638.534,1,[30.179699999988088],[30.179699999988088],"Looks like a healthy reptile, fertility issues may be related to genetics, illness, or simple probability.",638.5342,639.5371,0,14,14,14,1,C,E,E_C.png,training,4,15,4,high,stripes,feet,E,W,F,C,176,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,639.54,685.1093,1,[42.580099999994104],[42.580099999994104],"Looks like a healthy reptile, no physical signs that would contribute to low fertility. May be related to genetics, illness, or simple probability.",685.1094,686.1103,0,15,15,15,1,C,W,W_C.png,training,4,16,1,low,stripes,feet,E,W,F,C,176,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.1108,691.9931,1,[2.890300000011848],[2.890300000011848],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,E,E_F.png,training,1,1,8,high,stripes,feet,E,W,F,C,176,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,692.0135,710.2926,"[1,5,7,8]",1,[1.2358000000119773],[1.2358000000119773],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.2949,725.6665,,,No,14.2308,,,1,[1.1524000000059686],[1.1524000000059686],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.6691,738.7175,,,No,11.9777,,,1,[1.0849000000059732],[1.0849000000059732],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.7178,746.4393,0,[],[],0,[],[],1,[5.731600000023832],[5.731600000023832],0,[],[],,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.4402,780.3293,2,31.6455,Not at all - 1,32.7322,1,[1.15380000001187],[1.15380000001187],,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.3299,841.8119,I think it would have been useful to know we had to notice minor details beforehand. I saw all the reptiles the same and my answers were based on my understanding of fertility issues.,1,[60.495399999976144],[60.49549999999999]
