consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,24.5371,24.5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,24.5373,33.0489,1,[3.5165000000000077],[3.5165000000000077],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,33.049,43.0657,1,[5.032699999988083],[5.032699999988083],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,43.066,53.8826,1,[5.833400000035766],[5.833400000035766],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,53.8829,62.9994,1,[4.133400000035763],[4.133400000035763],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,,,,,,63.0036,105.6697,1,[39.669399999976164],[39.66950000000001],This reptile is happy and healthy so they are very fertile.,105.6699,106.6678,0,0,0,0,1,C,W,W_C.png,training,1,1,8,high,stripes,feet,W,E,C,F,158,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,,,,,,106.6691,127.685,1,[18.03390000003577],[18.03390000003577],This reptile is happy and healthy so they are very fertile.,127.6851,128.685,0,1,1,1,1,F,W,W_F.png,training,1,2,8,high,stripes,feet,W,E,C,F,158,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,,,,,,128.6863,147.6191,1,[15.950700000047675],[15.950700000047675],This reptile is happy and healthy so they are very fertile.,147.6192,148.6204,0,2,2,2,1,C,E,E_C.png,training,1,3,7,low,stripes,feet,W,E,C,F,158,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,2026-05-18_13h52.03.751,explain2,2025.1.1,Win32,61.34969325,66d8e4c119fbcd2677d4eeba,6a05d39198ca5b2f348a4575,6a0b51925f10db7f960511d7,,,,,,,,,,,,,,,,,,,,,,,148.6216,180.4701,1,[28.86710000002384],[28.86710000002384],This reptile might not be in their breeding season which makes them not as fertile.,180.4701,181.4725,0,3,3,3,1,F,E,E_F.png,training,1,4,3,low,stripes,feet,W,E,C,F,158,3_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
