consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,18.0326,18.0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,18.0332,27.2737,1,[4.254000000000005],[4.254000000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,27.2739,39.0395,1,[6.767399999976149],[6.767399999976149],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,39.0398,46.7562,1,[2.71780000001192],[2.71780000001192],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,46.7564,53.7851,1,[2.033699999988073],[2.033699999988073],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,,,,,,53.7944,74.9228,1,[18.133499999999998],[18.133499999999998],The reptile is green and gave birth to a few but not many kids,74.9236,75.9202,0,0,0,0,1,C,W,W_C.png,training,1,1,4,low,stripes,feet,E,W,C,F,212,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,,,,,,75.9223,95.5716,1,[16.65299999999999],[16.65299999999999],"The reptile is green, striped, and gave birth to a ton of kids",95.5719,96.5683,0,1,1,1,1,C,E,E_C.png,training,1,2,9,high,stripes,feet,E,W,C,F,212,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,,,,,,96.5706,116.9018,1,[17.345899999976155],[17.345899999976155],"The reptile is green, striped, with white toenails, and gave birth to a ton of kids.",116.9022,117.8991,0,2,2,2,1,F,E,E_F.png,training,1,3,8,high,stripes,feet,E,W,C,F,212,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-05-18_14h00.59.166,explain2,2025.1.1,Win32,60.60606061,69d4e9b098840254a2011f5e,6a05d39198ca5b2f348a4575,6a0b535d8ea58be85595ba6e,,,,,,,,,,,,,,,,,,,,,,,117.9009,147.1535,1,[26.253399999976153],[26.253399999976153],"The reptile is green, striped, with white toenails, and gave birth to only one kid.",147.1539,148.1518,0,3,3,3,1,F,W,W_F.png,training,1,4,1,low,stripes,feet,E,W,C,F,212,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
