consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,355.925,407.159,1,[48.23999999999995],[48.23999999999995],"Faring a little better, maybe improving environment, still poor diet",407.16,408.15,0,4,4,4,1,C,W,W_C.png,training,2,5,4,low,feet,stripes,F,C,W,E,87,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,408.157,449.009,1,[37.860000000000014],[37.860000000000014],"That lighter colored throat may succeed, and improving condition could be responsible ",449.01,450.013,0,5,5,5,1,F,E,E_F.png,training,2,6,5,high,feet,stripes,F,C,W,E,87,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,450.022,461.115,1,[8.100999999999942],[8.100999999999942],,461.116,462.113,0,6,6,6,1,F,W,W_F.png,training,2,7,6,high,feet,stripes,F,C,W,E,87,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,462.119,500.392,1,[35.278999999999996],[35.278999999999996],No outstanding coloration plus possibly poor food and environmental conditions ,500.393,501.394,0,7,7,7,1,C,E,E_C.png,training,2,8,1,low,feet,stripes,F,C,W,E,87,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,501.401,542.569,1,[38.17500000000007],[38.17500000000007],I can only surmise environmental conditions or lack of mates,542.57,543.558,0,8,8,8,1,C,W,W_C.png,training,3,9,3,low,feet,stripes,F,C,W,E,87,3_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,543.565,585.744,1,[39.17399999999998],[39.17399999999998],"Lighter coloration, including the throat, could draw attention ",585.745,586.739,0,9,9,9,1,F,E,E_F.png,training,3,10,4,high,feet,stripes,F,C,W,E,87,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,586.746,633.659,1,[43.92000000000007],[43.92000000000007],"Larger, stronger, good weather and food conditions for the season, plenty of mate availability ",633.66,634.652,0,10,10,10,1,F,W,W_F.png,training,3,11,9,high,feet,stripes,F,C,W,E,87,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,634.659,695.525,1,[57.87200000000007],[57.87200000000007],"Smaller physique, no outstanding colors, poor weather and food conditions ",695.526,696.516,0,11,11,11,1,C,E,E_C.png,training,3,12,1,low,feet,stripes,F,C,W,E,87,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,696.523,740.9,1,[41.38499999999999],[41.38499999999999],"Medium size, moderate conditions for mating, average food available ",740.901,741.897,0,12,12,12,1,C,W,W_C.png,training,4,13,5,low,feet,stripes,F,C,W,E,87,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,741.904,815.583,1,[70.68799999999999],[70.68799999999999],Amphibious features could assist this animal and it’s young in avoiding some predators ,815.584,816.575,0,13,13,13,1,F,W,W_F.png,training,4,14,8,high,feet,stripes,F,C,W,E,87,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,816.584,855.457,1,[35.88200000000006],[35.88200000000006],Lighter throat color helps to stand out amid average conditions ,855.458,856.456,0,14,14,14,1,F,E,E_F.png,training,4,15,5,high,feet,stripes,F,C,W,E,87,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,856.462,904.253,1,[44.82999999999993],[44.82999999999993],Would need better environmental conditions to improve population and survivability,904.253,905.252,0,15,15,15,1,C,E,E_C.png,training,4,16,4,low,feet,stripes,F,C,W,E,87,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.27,912.696,1,[4.427000000000021],[4.427000000000021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,6,low,feet,stripes,F,C,W,E,87,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,912.729,973.572,"[6,5,3,9]",1,[2.5399999999999636],[2.5399999999999636],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.581,1052.283,5,57.214,Yes,26.116,Webbed,Webbed,77.33,1,[1.384999999999991],[1.384999999999991],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.293,1062.981,,,No,9.635,,,,1,[1.0709999999999127],[1.0709999999999127],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.983,1066.733,0,[],[],0,[],[],1,[1.7560000000000855],[1.7560000000000855],0,[],[],,,,,,,,,,,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066.734,1088.167,5,14.958,All the time - 7,20.458,1,[0.9730000000001837],[0.9730000000001837],,,,,,
,087,2026-05-18_11h49.59.552,explain2,2025.1.1,iPhone,47.61904762,672bb3b59c2a11f87921c986,6a05d39198ca5b2f348a4575,6a0b50d4bb6600fefc84078d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.167,1134.444,"Sensitive touch screen, I don’t know if it selected the proper answer for the question on study topic",1,[45.284999999999854],[45.284999999999854]
