consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,33.7761,33.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,33.7766,46.0842,1,[7.3299000000059635],[7.3299000000059635],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,46.0844,61.5866,1,[10.52040000000595],[10.52040000000595],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,61.5872,75.2066,1,[8.650700000017878],[8.650700000017878],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,75.2071,88.0243,1,[7.828799999982124],[7.828799999982124],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,,,,,,88.0311,127.5264,1,[36.502999999999986],[36.502999999999986],"The stripe pattern might help it blend into the plants and avoid being eaten, letting its offspring reach maturity",127.5267,128.5166,0,0,0,0,1,C,E,E_C.png,training,1,1,7,high,feet,stripes,C,F,E,W,181,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,,,,,,128.5184,152.442,1,[20.948199999988077],[20.948199999988077],Perhaps this time it simply did not find a partner,152.4421,153.443,0,1,1,1,1,F,E,E_F.png,training,1,2,2,low,feet,stripes,C,F,E,W,181,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,,,,,,153.4454,189.5136,1,[33.09680000001191],[33.096900000005945],"Same as before, the stripes probably help it blend into the leaves",189.5137,190.5085,0,2,2,2,1,C,W,W_C.png,training,1,3,7,high,feet,stripes,C,F,E,W,181,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,2026-05-18_13h54.05.765,explain2,2025.1.1,Win32,30.03003003,69b1c04fab2f9a249444c3d4,6a05d39198ca5b2f348a4575,6a0b520ef46c373d56200b1a,,,,,,,,,,,,,,,,,,,,,,,190.5105,238.5791,1,[45.09180000001189],[45.09180000001189],"This is the same exact image as the last few, the only reason its score could be lower is either its offspring aren't making it or it is not finding a mate",238.5792,239.5678,0,3,3,3,1,F,W,W_F.png,training,1,4,3,low,feet,stripes,C,F,E,W,181,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
