consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,192.89,259.103,1,[63.21600000000001],[63.21600000000001],I'm not sure what differences I'm supposed to be seeing. I guess this one maybe looks a little bigger,259.103,260.101,0,4,4,4,1,F,E,E_F.png,training,2,5,4,high,feet,stripes,F,C,E,W,107,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,260.109,296.535,1,[33.434000000000026],[33.434000000000026],I still am unsure,296.536,297.534,0,5,5,5,1,C,E,E_C.png,training,2,6,2,low,feet,stripes,F,C,E,W,107,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,297.54,306.968,1,[6.432999999999993],[6.432999999999993],Unsure,306.968,307.968,0,6,6,6,1,C,W,W_C.png,training,2,7,2,low,feet,stripes,F,C,E,W,107,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,307.972,327.868,1,[16.899999999999977],[16.899999999999977],Unsure,327.868,328.867,0,7,7,7,1,F,W,W_F.png,training,2,8,7,high,feet,stripes,F,C,E,W,107,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,328.875,343.651,1,[11.783000000000015],[11.783000000000015],I don't know,343.651,344.651,0,8,8,8,1,F,E,E_F.png,training,3,9,9,high,feet,stripes,F,C,E,W,107,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,344.655,360.552,1,[12.900000000000034],[12.900000000000034],I don't know. I really see no difference,360.553,361.551,0,9,9,9,1,C,W,W_C.png,training,3,10,3,low,feet,stripes,F,C,E,W,107,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,361.557,390.002,1,[25.44999999999999],[25.44999999999999],I feel like I'm missing something. I don't know,390.002,391.002,0,10,10,10,1,C,E,E_C.png,training,3,11,4,low,feet,stripes,F,C,E,W,107,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,391.005,403.551,1,[9.548999999999978],[9.548999999999978],Sorry. No idea,403.552,404.551,0,11,11,11,1,F,W,W_F.png,training,3,12,7,high,feet,stripes,F,C,E,W,107,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,404.554,425.818,1,[18.264999999999986],[18.264999999999986],I see no identifying information regarding fertility,425.818,426.818,0,12,12,12,1,C,W,W_C.png,training,4,13,4,low,feet,stripes,F,C,E,W,107,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,426.825,447.684,1,[17.86700000000002],[17.86700000000002],I still don't know,447.684,448.684,0,13,13,13,1,F,E,E_F.png,training,4,14,10,high,feet,stripes,F,C,E,W,107,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,448.688,463.684,1,[11.999000000000024],[11.999000000000024],"I'm sorry, still nothing",463.685,464.684,0,14,14,14,1,F,W,W_F.png,training,4,15,6,high,feet,stripes,F,C,E,W,107,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,464.691,478.584,1,[10.899999999999977],[10.899999999999977],I don't know,478.584,479.584,0,15,15,15,1,C,E,E_C.png,training,4,16,7,low,feet,stripes,F,C,E,W,107,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.584,483.3,1,[0.7330000000000609],[0.7330000000000609],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,W,W_F.png,training,1,1,7,high,feet,stripes,F,C,E,W,107,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,high,low,low",,,,,,483.313,508.867,"[7,1,6,10]",1,[1.58400000000006],[1.58400000000006],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.87,520.384,,,No,10.619,,,1,[0.8990000000000009],[0.8990000000000009],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.388,524.817,,,No,3.667,,,1,[0.7669999999999391],[0.7669999999999391],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.818,528.768,0,[],[],0,[],[],1,[1.9669999999999845],[1.9669999999999845],0,[],[],,,,,,,,,,,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.77,535.917,Not at all - 1,3.07,Not at all - 1,4.953,1,[2.183999999999969],[2.183999999999969],,,,,,
,107,2026-05-18_13h49.38.404,explain2,2025.1.1,MacIntel,60.0240096,6a046c6eb8eba0bea4ee45fb,6a05d39198ca5b2f348a4575,6a0b50fd3c698b20df0d840d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.917,575.369,I'm sorry. I just completely missed the toes and lines. I was focusing on all the wrong things.,1,[38.4670000000001],[38.4670000000001]
