consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,338.1493,379.2583,1,[38.1115999999642],[38.1115999999642],This reptile received a fertility score of 4 because it has more stripes and beige around the eyes.,379.2585,380.2467,0,4,4,4,1,C,W,W_C.png,training,2,5,4,low,stripes,feet,E,W,C,F,16,4_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,380.2488,440.7558,1,[57.51390000003579],[57.51390000003579],This reptile received a fertility score of 4 because it has the beige mouth and beige around the eyes.,440.7559,441.7442,0,5,5,5,1,F,W,W_F.png,training,2,6,4,low,stripes,feet,E,W,C,F,16,4_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,441.746,485.6204,1,[40.88149999999996],[40.88149999999996],This reptile received the higher fertility score of 8 because it has more white color around the eyes and its feet.,485.6204,486.6196,0,6,6,6,1,F,E,E_F.png,training,2,7,8,high,stripes,feet,E,W,C,F,16,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,486.6218,519.5521,1,[29.932100000023866],[29.932100000023866],This reptile received a higher score of 8 on fertility because of the white around the eyes.,519.5522,520.5511,0,7,7,7,1,C,E,E_C.png,training,2,8,8,high,stripes,feet,E,W,C,F,16,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,520.5529,570.3494,1,[46.797500000000014],[46.797500000000014],This reptile received the highest fertility score of 10 due to the white around the eyes.,570.3495,571.3373,0,8,8,8,1,F,E,E_F.png,training,3,9,10,high,stripes,feet,E,W,C,F,16,10_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,571.339,600.1207,1,[25.78860000002385],[25.78860000002385],This reptile received a fertility score of 5 because it has more beige around the eyes versus white.,600.1207,601.1195,0,9,9,9,1,C,W,W_C.png,training,3,10,5,low,stripes,feet,E,W,C,F,16,5_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,601.1215,645.1455,1,[41.031099999964226],[41.031099999964226],This reptile received a lower fertility rate because of the beige around the eyes.,645.1455,646.1452,0,10,10,10,1,F,W,W_F.png,training,3,11,2,low,stripes,feet,E,W,C,F,16,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,646.147,676.0112,1,[26.8652999999523],[26.8652999999523],This reptile received a higher fertility rate of 7 because of the white around its eyes.,676.0112,677.0101,0,11,11,11,1,C,E,E_C.png,training,3,12,7,high,stripes,feet,E,W,C,F,16,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,677.0121,700.1094,1,[20.098899999976197],[20.098899999976197],This reptile scored a 6 because it has more beige around the eyes.,700.1094,701.1091,0,12,12,12,1,C,W,W_C.png,training,4,13,6,low,stripes,feet,E,W,C,F,16,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,701.1105,727.5079,1,[23.39869999998814],[23.39869999998814],This reptile scored the highest because of the white around its eyes.,727.508,728.5076,0,13,13,13,1,C,E,E_C.png,training,4,14,10,high,stripes,feet,E,W,C,F,16,10_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
