consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,5.4179,5.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,5.4184,15.4495,1,[5.038599999964248],[5.038599999964248],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,15.4497,28.4483,1,[8.004399999976158],[8.004499999999993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,28.4485,42.1127,1,[8.66930000001193],[8.66930000001193],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,42.1131,55.0105,1,[7.9005999999642285],[7.9005999999642285],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,,,,,,55.0162,76.1456,1,[18.133600000023847],[18.133600000023847],They are a very vivid green and look healthy,76.1512,77.1416,0,0,0,0,1,C,W,W_C.png,training,1,1,5,high,stripes,feet,W,E,F,C,174,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,,,,,,77.1454,101.4447,1,[21.299300000011925],[21.299400000035774],They look healthy but they could be suffering from disease making them infertle,101.4474,102.4405,0,1,1,1,1,C,E,E_C.png,training,1,2,2,low,stripes,feet,W,E,F,C,174,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,,,,,,102.4451,125.0286,1,[19.58719999998806],[19.58719999998806],The reptile is bright green and looks healthy,125.0306,126.0235,0,2,2,2,1,F,E,E_F.png,training,1,3,5,low,stripes,feet,W,E,F,C,174,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,2026-05-18_14h11.19.520,explain2,2025.1.1,Win32,29.94011976,69ffe5da917d458e31b7f33c,6a05d39198ca5b2f348a4575,6a0b55c99b1fb033a01c890a,,,,,,,,,,,,,,,,,,,,,,,126.0264,145.2437,1,[16.21740000003578],[16.21740000003578],This reptile is very healthy and has green stripes,145.2458,146.2389,0,3,3,3,1,F,W,W_F.png,training,1,4,6,high,stripes,feet,W,E,F,C,174,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
