consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,581.9369,669.69,1,[84.75509999999963],[84.75509999999963],"Because it is medium in size, so it had some energy but not enough to have many surviving offspring.",669.69,670.687,0,4,4,4,1,F,W,W_F.png,training,2,5,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,670.6894,724.272,1,[50.58959999999968],[50.58959999999968],"Because it is medium in size, so it had some energy but not enough to have many surviving offspring.",724.2722,725.2706,0,5,5,5,1,F,E,E_F.png,training,2,6,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,725.2728,793.4791,1,[65.21440000000041],[65.21440000000041],"Because its fairly big, so it likely had enough energy to have 6 surviving offspring.",793.4794,794.4784,0,6,6,6,1,C,W,W_C.png,training,2,7,6,high,feet,stripes,C,F,E,W,101,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,794.4813,864.3276,1,[66.84760000000051],[66.84760000000051],"Because it is big and healthy, so it likely had enough energy and strength to have 10 surviving offspring.",864.3278,865.3319,0,7,7,7,1,C,E,E_C.png,training,2,8,10,high,feet,stripes,C,F,E,W,101,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,865.3341,931.7836,1,[63.456199999999285],[63.456199999999285],"Because it is medium in size and healthy, so it had some energy but not enough to have many surviving offspring's.",931.7837,932.7801,0,8,8,8,1,F,E,E_F.png,training,3,9,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,932.7822,996.2149,1,[60.43949999999984],[60.43949999999984],"Because it is medium-sized and healthy, so it had some energy but not enough to have many surviving offspring's.",996.215,997.2059,0,9,9,9,1,F,W,W_F.png,training,3,10,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,997.209,1068.5891,1,[68.38149999999996],[68.38149999999996],Because its big and it has enough energy to have 8 surviving offspring's.,1068.5891,1069.5871,0,10,10,10,1,C,W,W_C.png,training,3,11,8,high,feet,stripes,C,F,E,W,101,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,1069.5903,1168.8944,1,[96.3056000000006],[96.30570000000012],"Because it looks large and healthy, which usually means it had enough energy and strength to have the 9 surviving offspring's.",1168.8945,1169.8906,0,11,11,11,1,C,E,E_C.png,training,3,12,9,high,feet,stripes,C,F,E,W,101,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,1169.8931,1249.5408,1,[76.65459999999962],[76.65459999999962],Because it is average in size and it likely had enough energy to have 5 surviving offspring's.,1249.541,1250.5329,0,12,12,12,1,F,E,E_F.png,training,4,13,5,low,feet,stripes,C,F,E,W,101,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,1250.536,1319.4491,1,[65.91550000000007],[65.91550000000007],"Because it looks small and not very strong, so it probably only had enough energy for 3 surviving offspring's.",1319.4492,1320.4474,0,13,13,13,1,F,W,W_F.png,training,4,14,3,low,feet,stripes,C,F,E,W,101,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
