consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,364.7552,364.7554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,364.756,372.7481,1,[2.9939999999999714],[2.9939999999999714],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,372.7484,386.6043,1,[8.866800000011892],[8.866800000011892],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,386.605,393.7209,1,[2.1165000000000305],[2.116700000002993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,393.722,404.4872,1,[5.766999999999996],[5.766999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,,,,,,404.5144,440.6197,1,[33.11470000000298],[33.11470000000298],It was young and not fully mature ,440.6205,441.6173,0,0,0,0,1,C,W,W_C.png,training,1,1,3,low,feet,stripes,F,C,W,E,99,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,,,,,,441.6232,463.2347,1,[18.615700000002903],[18.615799999996966],I suppose this is more mature and could be in a warmer season ,463.235,464.2321,0,1,1,1,1,F,W,W_F.png,training,1,2,6,high,feet,stripes,F,C,W,E,99,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,,,,,,464.2364,477.4108,1,[10.177199999988147],[10.177199999988147],this one looks slightly more mature ,477.411,478.3989,0,2,2,2,1,F,E,E_F.png,training,1,3,7,high,feet,stripes,F,C,W,E,99,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,099,2026-05-18_12h50.09.980,explain2,2025.1.1,Win32,58.82352941,69fcae27988b5a4105fdf077,6a05d39198ca5b2f348a4575,6a0b50f0538332e6829a823c,,,,,,,,,,,,,,,,,,,,,,,478.4039,507.649,1,[26.248699999988048],[26.248699999988048],It looks like average fertility score in a warm season ,507.6494,508.6459,0,3,3,3,1,C,E,E_C.png,training,1,4,6,low,feet,stripes,F,C,W,E,99,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
