consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,8.3204,8.3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,8.3208,21.0634,1,[7.750600000143052],[7.750600000143052],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,21.0637,33.7798,1,[7.716499999999996],[7.716499999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,33.7801,50.7297,1,[11.949699999809269],[11.949699999809269],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,50.7305,74.8298,1,[19.09979999995231],[19.09979999995231],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,,,,,,74.8378,103.0808,1,[25.24970000004768],[25.24970000004768],Based on the number of offspring it produced,103.0821,104.0794,0,0,0,0,1,C,W,W_C.png,training,1,1,5,low,stripes,feet,E,W,F,C,256,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,,,,,,104.0847,118.7811,1,[11.700100000143038],[11.700300000190737],This reptile produced more offspring,118.7817,119.779,0,1,1,1,1,C,E,E_C.png,training,1,2,7,high,stripes,feet,E,W,F,C,256,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,,,,,,119.7842,139.2813,1,[16.50019999980927],[16.50019999980927],"This reptile produced less offspring, his claws are less pointy",139.2818,140.2792,0,2,2,2,1,F,W,W_F.png,training,1,3,3,low,stripes,feet,E,W,F,C,256,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,2026-06-04_15h14.24.019,explain2,2025.1.1,Win32,59.88023952,69fc8697b3cb62a6e6bb84de,6a21d5d599f968bc9253a998,6a21dc4b76b689f5ffa27d80,,,,,,,,,,,,,,,,,,,,,,,140.2835,164.4641,1,[21.182900000095344],[21.182900000095344],"This one also has less pointy claws, but must have produced more off spring",164.4655,165.4624,0,3,3,3,1,F,E,E_F.png,training,1,4,8,high,stripes,feet,E,W,F,C,256,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
