consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,117.401,131.497,1,[11.10299999999998],[11.10299999999998],It has webbed feet and lighter color,131.498,132.487,0,4,4,4,1,F,E,E_F.png,training,2,5,1,low,feet,stripes,C,F,E,W,265,1_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,132.493,147.639,1,[12.151000000000039],[12.151000000000039],It has stripes and pointy toes,147.639,148.634,0,5,5,5,1,C,W,W_C.png,training,2,6,9,high,feet,stripes,C,F,E,W,265,9_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,148.639,160.586,1,[8.951000000000022],[8.951000000000022],It has stripes and pointy toes,160.587,161.59,0,6,6,6,1,C,E,E_C.png,training,2,7,10,high,feet,stripes,C,F,E,W,265,10_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,161.595,175.376,1,[10.817999999999984],[10.817999999999984],It has lighter stripes and webbed toes,175.376,176.366,,,,,,,,,,,,,,,,,,,,,,,,176.375,182.118,1,[0.7520000000000095],[0.7520000000000095],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.121,199.645,4,12.581,Yes,6.131, Up/Right,16.881,1,[0.6410000000000196],[0.6410000000000196], Up/Right,0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.649,211.603,6,10.606,Yes,6.455,1,9.305,1,[1.3480000000000132],[1.3480000000000132], Curved/Pointy,0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.605,212.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,W,W_F.png,training,2,8,3,low,feet,stripes,C,F,E,W,265,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,212.607,230.189,1,[14.586000000000013],[14.586000000000013],Stripes upright and webbed toes,230.19,231.179,0,8,8,8,1,F,E,E_F.png,training,3,9,8,low,feet,stripes,C,F,E,W,265,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,231.185,246.566,1,[12.394999999999982],[12.394999999999982],Stripes downward and curved toes,246.566,247.556,0,9,9,9,1,C,W,W_C.png,training,3,10,5,high,feet,stripes,C,F,E,W,265,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
