consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,133.1279,133.1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,133.1281,142.5513,1,[4.42969999998806],[4.42969999998806],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,142.5515,153.1418,1,[5.594999999999999],[5.594999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,153.142,167.396,1,[9.258599999994033],[9.258599999994033],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,167.3962,181.9832,1,[9.591099999994043],[9.591099999994043],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,,,,,,181.9872,200.4178,1,[15.436299999982083],[15.436299999982083],Stripes up and to the left,200.4179,201.4164,0,0,0,0,1,C,W,W_C.png,training,1,1,8,low,stripes,feet,E,W,C,F,100,8_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/W_C.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,,,,,,201.4189,211.0581,1,[6.644099999994012],[6.644199999988075],webbed feet,211.0582,212.0566,0,1,1,1,1,F,E,E_F.png,training,1,2,10,high,stripes,feet,E,W,C,F,100,10_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/W_C.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,,,,,,212.0587,219.7504,1,[4.695699999988108],[4.695699999988108],webbed feet,219.7504,220.7495,0,2,2,2,1,C,E,E_C.png,training,1,3,6,high,stripes,feet,E,W,C,F,100,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/W_C.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2026-06-04_16h25.21.970,explain2,2025.1.1,Win32,59.88023952,6699b17ebdada9344e32ed5f,6a21d5d599f968bc9253a998,6a21def3ea05d1acce4990b9,,,,,,,,,,,,,,,,,,,,,,,220.7513,236.6357,1,[12.888299999982166],[12.888399999976173],webbed feet and stripes up and to the left,236.6357,237.6345,0,3,3,3,1,F,W,W_F.png,training,1,4,1,low,stripes,feet,E,W,C,F,100,1_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/W_C.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
