consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,195.277,214.578,1,[16.311000000000035],[16.311000000000035],The toes are curled,214.579,215.584,0,4,4,4,1,F,W,W_F.png,training,2,5,4,high,stripes,feet,W,E,C,F,58,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,215.599,225.391,1,[6.7999999999999545],[6.7999999999999545],The stripes are angled left to right,225.392,226.383,0,5,5,5,1,C,E,E_C.png,training,2,6,2,low,stripes,feet,W,E,C,F,58,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,226.393,470.16,1,[240.7759999999999],[240.7759999999999],The toes are webbed and stripes are left to right,470.161,471.147,0,6,6,6,1,F,E,E_F.png,training,2,7,3,low,stripes,feet,W,E,C,F,58,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,471.204,491.983,1,[19.61099999999999],[19.61099999999999],The stripes are left to right,491.984,492.975,,,,,,,,,,,,,,,,,,,,,,,,492.99,536.258,1,[38.28100000000006],[38.28100000000006],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.273,542.757,,,No,5.759,,,1,[0.7200000000000273],[0.7200000000000273],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.76,557.631,7,6.207,Yes,2.242,0,12.873,1,[2.8630000000000564],[2.8630000000000564],0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,Up/Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.633,558.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,W,W_C.png,training,2,8,10,high,stripes,feet,W,E,C,F,58,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,558.639,568.341,1,[6.710999999999899],[6.710999999999899],The stripes are left to right,568.342,569.331,0,8,8,8,1,F,W,W_F.png,training,3,9,6,high,stripes,feet,W,E,C,F,58,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,569.341,580.722,1,[8.392000000000053],[8.392000000000053],The stripes are webbed,580.723,581.712,0,9,9,9,1,F,E,E_F.png,training,3,10,5,low,stripes,feet,W,E,C,F,58,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
