consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,115.9632,115.9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,115.9646,152.1699,1,[31.20929999999703],[31.20929999999703],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,152.1701,228.6273,1,[71.4581999999881],[71.4581999999881],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,228.6275,277.0857,1,[43.458299999996996],[43.458299999996996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,277.086,375.1272,1,[93.04190000000597],[93.04190000000597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,,,,,,375.1341,534.6903,1,[156.5625000000001],[156.5625000000001],"This reptile presents with stripes that move up and to the left, and webbed feet. The Fertility score of this reptile is reported as 8.It cannot be determined why the Fertility score is 8 and not another number.",534.6905,535.6893,0,0,0,0,1,F,W,W_F.png,training,1,1,8,high,stripes,feet,W,E,C,F,226,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,,,,,,535.6947,647.6479,1,[108.95800000000008],[108.95809999999403],"This reptile presents with stripes pointing up and to the left, and curly feet.The reported Fertility score for this reptile is 8.It cannot be determined why the reported Fertility score is 8 and not another number.",647.6479,648.6468,0,1,1,1,1,C,W,W_C.png,training,1,2,8,high,stripes,feet,W,E,C,F,226,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,,,,,,648.6496,762.585,1,[110.93720000000303],[110.93720000000303],"This reptile presents with stripes moving up and to the right, and with curvy feet.The Fertility score for this reptile is 2. It cannot be determined why the reported Fertility score is 2 and not another number.",762.5851,763.5848,0,2,2,2,1,C,E,E_C.png,training,1,3,2,low,stripes,feet,W,E,C,F,226,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,2026-06-04_13h11.50.946,explain2,2025.1.1,Win32,48.30917874,6a18a14c1a4171a5a1de1479,6a21d5d599f968bc9253a998,6a21dba7b9991d810ba05802,,,,,,,,,,,,,,,,,,,,,,,763.5871,868.2101,1,[101.62470000000292],[101.62470000000292],"This reptile presents with stripes that are upward and to the right, and has webbed feet.The reported Fertility score for this reptile is 2.It cannot be determined why the Fertility score is 2 and not another number based on the information we have.",868.2102,869.2092,0,3,3,3,1,F,E,E_F.png,training,1,4,2,low,stripes,feet,W,E,C,F,226,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
