consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,679.839,758.6808,1,[75.84720000004768],[75.84720000004768],because it show strong signs of health and productive potential,758.6809,759.68,0,4,4,4,1,C,E,E_C.png,training,2,5,8,high,feet,stripes,C,F,E,W,249,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,759.6899,832.305,1,[69.62719999998808],[69.62719999998808],it shows very strong signs of health and reproductive fitness ,832.3051,833.3046,0,5,5,5,1,C,W,W_C.png,training,2,6,9,high,feet,stripes,C,F,E,W,249,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,833.3152,867.2694,1,[30.963699999988307],[30.963699999988307],it appears neither weak nor in peak condition,867.2696,868.2681,0,6,6,6,1,F,E,E_F.png,training,2,7,5,low,feet,stripes,C,F,E,W,249,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,868.277,898.9188,1,[27.647700000047735],[27.647700000047735],it shows very limited signs of good health,898.919,899.9193,,,,,,,,,,,,,,,,,,,,,,,,899.9235,907.6318,1,[2.712599999964368],[2.712599999964368],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.6348,957.595,,,No,48.5683,,,1,[1.38230000001181],[1.382400000035659],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.6016,1124.2819,4,165.8677,Yes,49.581,1,148.7025,1,[3.2636000000236436],[3.2636000000236436],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png, Curved/Pointy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.284,1125.2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,W,W_F.png,training,2,8,2,low,feet,stripes,C,F,E,W,249,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,1125.2877,1316.9889,1,[188.70510000002378],[188.70510000002378],Because it have lower fertility than mammals per individual,1316.9891,1317.9848,0,8,8,8,1,C,W,W_C.png,training,3,9,5,high,feet,stripes,C,F,E,W,249,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,1317.9884,1403.5936,1,[82.60940000003575],[82.60940000003575],because the have high fertility they lay clutches of multiple eggs at once,1403.5938,1404.5941,0,9,9,9,1,F,W,W_F.png,training,3,10,7,low,feet,stripes,C,F,E,W,249,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
