consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,25.874,25.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,25.876,41.638,1,[10.766999999999996],[10.766999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,41.639,63.651,1,[17.01400000000001],[17.01400000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,63.651,94.753,1,[26.11799999999998],[26.11799999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,94.754,118.132,1,[18.382000000000005],[18.382000000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,118.145,214.684,1,[93.549],[93.549],The pattern of its stripes help it to blend into its environment. ,214.686,215.674,0,0,0,0,1,C,W,W_C.png,training,1,1,6,low,feet,stripes,F,C,E,W,207,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,215.685,378.79,1,[160.11700000000002],[160.11700000000002],"The pattern of the stripes did not help it blend in, making it easier to see.
",378.791,379.795,0,1,1,1,1,C,E,E_C.png,training,1,2,2,low,feet,stripes,F,C,E,W,207,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,379.804,437.92,1,[55.125999999999976],[55.125999999999976],The pattern of stripes helps it to blend into the vegetation.,437.921,438.924,0,2,2,2,1,F,W,W_F.png,training,1,3,7,high,feet,stripes,F,C,E,W,207,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,438.932,499.432,1,[57.50900000000007],[57.50900000000007],Vertical stripes to the right helped it blend into its environment.,499.433,500.436,0,3,3,3,1,F,E,E_F.png,training,1,4,9,high,feet,stripes,F,C,E,W,207,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,500.446,538.531,1,[35.09500000000003],[35.09500000000003],It’s stripes made it more visible.,538.532,539.533,0,4,4,4,1,C,W,W_C.png,training,2,5,2,low,feet,stripes,F,C,E,W,207,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,539.542,592.651,1,[50.11599999999987],[50.11599999999987],It’s environment made the stripes blend into so it was hard to see.,592.652,593.646,0,5,5,5,1,F,E,E_F.png,training,2,6,7,high,feet,stripes,F,C,E,W,207,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,593.655,652.678,1,[56.03200000000004],[56.03200000000004],It was in an environment where stripes made it stand out.,652.68,653.675,0,6,6,6,1,F,W,W_F.png,training,2,7,3,high,feet,stripes,F,C,E,W,207,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,653.685,706.365,1,[49.69100000000003],[49.69100000000003],It’s stripes were not helpful to survival.,706.366,707.355,,,,,,,,,,,,,,,,,,,,,,,,707.364,713.485,1,[1.1299999999999955],[1.1299999999999955],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.488,729.08,,,No,14.651,,,1,[0.9399999999999409],[0.9399999999999409],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.082,738.813,,,No,8.84,,,1,[0.8909999999999627],[0.8909999999999627],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.814,739.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,E,E_C.png,training,2,8,4,low,feet,stripes,F,C,E,W,207,4_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,739.807,780.553,1,[37.75100000000009],[37.75100000000009],No predators were able to find it.,780.554,781.549,0,8,8,8,1,F,E,E_F.png,training,3,9,10,high,feet,stripes,F,C,E,W,207,10_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,781.558,835.407,1,[50.85799999999995],[50.85799999999995],It’s stripes helped it to blend into the environment.,835.407,836.412,0,9,9,9,1,F,W,W_F.png,training,3,10,7,high,feet,stripes,F,C,E,W,207,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,836.42,879.995,1,[40.583000000000084],[40.583000000000084],No vegetation was available for it to hide.,879.996,880.991,0,10,10,10,1,C,W,W_C.png,training,3,11,1,low,feet,stripes,F,C,E,W,207,1_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,881.001,903.509,1,[19.51699999999994],[19.51699999999994],Predators found it easily.,903.51,904.507,0,11,11,11,1,C,E,E_C.png,training,3,12,3,low,feet,stripes,F,C,E,W,207,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,904.515,930.308,1,[22.801000000000045],[22.801000000000045],It was well hidden.,930.309,931.305,0,12,12,12,1,F,W,W_F.png,training,4,13,7,high,feet,stripes,F,C,E,W,207,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,931.314,965.985,1,[31.67999999999995],[31.67999999999995],It had more predators in its environment.,965.986,966.985,0,13,13,13,1,C,E,E_C.png,training,4,14,4,low,feet,stripes,F,C,E,W,207,4_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,966.995,999.512,1,[29.538999999999987],[29.538999999999987],It blends into it’s environment pretty well.,999.512,1000.516,0,14,14,14,1,C,W,W_C.png,training,4,15,6,low,feet,stripes,F,C,E,W,207,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,1000.523,1034.893,1,[31.378000000000156],[31.378000000000156],It blended into its environment.,1034.894,1035.897,0,15,15,15,1,F,E,E_F.png,training,4,16,7,high,feet,stripes,F,C,E,W,207,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-06-04_16h09.57.979,explain2,2025.1.1,MacIntel,45.45454545,667045cd9dbfa307c7c8fc4f,6a21d5d599f968bc9253a998,6a21db5a7635dfb96e178859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.903,1042.432,1,[3.535000000000082],[3.535000000000082],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
