consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,191.048,223.5369,1,[29.49379999995233],[29.49379999995233],nonwebbed feet,223.5373,224.5346,0,4,4,4,1,C,E,E_C.png,training,2,5,1,high,stripes,feet,E,W,F,C,220,1_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,224.5414,235.385,1,[7.847700000047666],[7.847700000047666],nonwebbed feet,235.3853,236.3825,0,5,5,5,1,F,W,W_F.png,training,2,6,4,low,stripes,feet,E,W,F,C,220,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,236.3898,256.1307,1,[16.746900000095366],[16.746900000095366],nonwebbed feet,256.1308,257.1287,0,6,6,6,1,C,W,W_C.png,training,2,7,1,low,stripes,feet,E,W,F,C,220,1_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,257.1347,279.5436,1,[19.412799999952313],[19.412899999856904],right stripes,279.5439,280.5404,,,,,,,,,,,,,,,,,,,,,,,,280.5434,300.653,1,[15.113],[15.113],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.658,312.1191,,,No,10.2261,,,1,[1.2322999999523176],[1.2322999999523176],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.1316,367.0911,4,37.5919,Yes,20.6509,0,49.0514,1,[5.898899999856951],[5.899099999904649],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,Webbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0944,368.0898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,E,E_F.png,training,2,8,10,high,stripes,feet,E,W,F,C,220,10_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,368.0943,378.8563,1,[7.765099999904635],[7.765099999904635],curly feet,378.8566,379.8541,0,8,8,8,1,C,E,E_C.png,training,3,9,5,high,stripes,feet,E,W,F,C,220,5_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,2026-06-04_16h11.10.261,explain2,2025.1.1,Win32,59.88023952,69d6e68bab812108c8752011,6a21d5d599f968bc9253a998,6a21db8812b79d5eeb670e42,,,,,,,,,,,,,,,,,,,,,,,379.8608,392.6704,1,[9.815200000047696],[9.815200000047696],webbed feet,392.6705,393.6684,0,9,9,9,1,F,W,W_F.png,training,3,10,4,low,stripes,feet,E,W,F,C,220,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
