consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,519.5654,559.9614,1,[37.39790000003575],[37.39790000003575],This reptile's traits may have helped it produce more surviving offspring.,559.9619,560.9639,0,4,4,4,1,F,W,W_F.png,training,2,5,7,high,feet,stripes,F,C,W,E,183,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,560.966,608.1134,1,[44.15180000001192],[44.15180000001192],This reptile's traits may have strongly contributed to producing many surviving offspring.,608.1138,609.111,0,5,5,5,1,C,W,W_C.png,training,2,6,9,low,feet,stripes,F,C,W,E,183,9_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,609.1135,639.7482,1,[27.653199999988146],[27.653199999988146],This reptile produced very few offspring that survived to maturity.,639.7486,640.7443,0,6,6,6,1,C,E,E_C.png,training,2,7,1,low,feet,stripes,F,C,W,E,183,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,640.7465,669.6116,1,[25.86640000003581],[25.86640000003581],This reptile's traits may have helped it produce many surviving offspring.,669.612,670.611,,,,,,,,,,,,,,,,,,,,,,,,670.6125,676.1778,1,[0.5665000000000191],[0.5665000000000191],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.1795,769.4945,,,No,92.3783,,,1,[0.9333000000117408],[0.9333000000117408],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.4973,806.7275,,,No,36.1501,,,1,[1.066800000011881],[1.066800000011881],0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.7285,807.7272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,E,E_F.png,training,2,8,8,high,feet,stripes,F,C,W,E,183,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,807.7288,891.2308,1,[80.50269999998818],[80.50269999998818],This reptile produced the highest possible number of surviving offspring and was extremely successful at reproduction.,891.2313,892.2272,0,8,8,8,1,F,E,E_F.png,training,3,9,10,high,feet,stripes,F,C,W,E,183,10_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,892.2299,918.0813,1,[22.853199999988192],[22.853199999988192],This reptile had only a few of its offspring survive to maturity.,918.0816,919.08,0,9,9,9,1,C,W,W_C.png,training,3,10,3,low,feet,stripes,F,C,W,E,183,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,919.082,951.6474,1,[29.566500000000133],[29.566500000000133],This reptile produced a relatively high number of offspring that survived to maturity.,951.6476,952.6461,0,10,10,10,1,F,W,W_F.png,training,3,11,7,high,feet,stripes,F,C,W,E,183,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,952.6484,980.4639,1,[24.817100000023856],[24.817199999988134],This reptile had only very few offspring survive to maturity.,980.4642,981.4633,0,11,11,11,1,C,E,E_C.png,training,3,12,1,low,feet,stripes,F,C,W,E,183,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,981.4657,1007.6645,1,[23.20060000002377],[23.200699999988046],This reptile had only a small number of its offspring survive to maturity.,1007.6647,1008.6607,0,12,12,12,1,C,W,W_C.png,training,4,13,3,low,feet,stripes,F,C,W,E,183,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,1008.6626,1033.3645,1,[21.717099999964148],[21.717099999964148],This reptile produced very few offspring that survived to maturity.,1033.3647,1034.3608,0,13,13,13,1,C,E,E_C.png,training,4,14,1,low,feet,stripes,F,C,W,E,183,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,1034.3631,1069.9281,1,[32.580899999976054],[32.580899999976054],This reptile produced a relatively high number of offspring that survived to maturity.,1069.9283,1070.9277,0,14,14,14,1,F,W,W_F.png,training,4,15,7,high,feet,stripes,F,C,W,E,183,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,1070.93,1096.9138,1,[22.985699999988128],[22.985699999988128],This reptile had a relatively high number of offspring survive to maturity.,1096.9141,1097.9106,0,15,15,15,1,F,E,E_F.png,training,4,16,7,high,feet,stripes,F,C,W,E,183,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.912,1111.4133,1,[10.516400000035674],[10.516400000035674],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,W,W_C.png,training,1,1,7,low,feet,stripes,F,C,W,E,183,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.4319,1174.8443,"[1,10,3,7]",1,[3.683100000023842],[3.683100000023842],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-06-04_16h48.10.359,explain2,2025.1.1,Win32,60.97560976,665cc37706c5e959d6f680a3,6a21d5d599f968bc9253a998,6a21e3655c80919f94215bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,1174.846,1197.578,7,22.1522,Yes,5.943, Curved/Pointy, Curved/Pointy,19.6692,1,[1.1503000000120664],[1.1503000000120664],0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
