consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,98.576,98.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,98.577,116.113,1,[12.542000000000002],[12.542000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,116.113,136.762,1,[15.652000000000015],[15.652000000000015],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,136.762,157.776,1,[16.017999999999972],[16.017999999999972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,157.777,180.391,1,[17.620000000000005],[17.620000000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,180.404,241.739,1,[58.33100000000002],[58.33100000000002],"This reptile seems young, so it hasn’t reach maturity age",241.74,242.73,0,0,0,0,1,F,E,E_F.png,training,1,1,5,high,stripes,feet,E,W,F,C,288,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,242.739,266.468,1,[20.738],[20.738],It doesn’t look very healthy ,266.47,267.471,0,1,1,1,1,C,W,W_C.png,training,1,2,2,low,stripes,feet,E,W,F,C,288,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,267.495,392.066,1,[121.59500000000003],[121.59500000000003],"If the score is that high then this reptile has the proper environmental conditions such as the weather, temperature and habitat.",392.067,393.062,0,2,2,2,1,C,E,E_C.png,training,1,3,9,high,stripes,feet,E,W,F,C,288,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,393.07,488.004,1,[91.94300000000004],[91.94300000000004],"In this case it could be possible that this reptile is sick or it doesn’t have proper environmental conditions such as warm, dried weather or enough food",488.005,488.999,0,3,3,3,1,F,W,W_F.png,training,1,4,4,low,stripes,feet,E,W,F,C,288,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,2026-06-04_16h20.49.274,explain2,2025.1.1,iPhone,52.63157895,69e5603106b0d7f42166f3a6,6a21d5d599f968bc9253a998,6a21ddd6d2a6fcd3d3a8a307,,,,,,,,,,,,,,,,,,,,,,,489.006,554.917,1,[62.918000000000006],[62.918000000000006],"Sometimes it could be possible due to genetic mutations, bad diet other",554.919,555.912,0,4,4,4,1,C,W,W_C.png,training,2,5,5,low,stripes,feet,E,W,F,C,288,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
