consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,33.5956,33.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,33.5967,46.3453,1,[7.768000000000001],[7.768000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,46.3458,60.7953,1,[9.466799999997022],[9.466799999997022],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,60.7962,79.3112,1,[13.537299999997032],[13.537299999997032],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,79.3121,97.1495,1,[12.850599999994046],[12.850599999994046],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,,,,,,97.1725,146.0549,1,[45.88790000000597],[45.888000000000005],They have webbed feet and stripes to the left,146.0565,147.0524,0,0,0,0,1,F,W,W_F.png,training,1,1,3,low,stripes,feet,E,W,C,F,68,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,,,,,,147.0742,209.8831,1,[59.828400000005956],[59.828400000005956],5143772540318160Curled feet and stripes to the right,209.8835,210.8718,0,1,1,1,1,C,W,W_C.png,training,1,2,1,low,stripes,feet,E,W,C,F,68,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,,,,,,210.8839,235.1182,1,[21.32759999999405],[21.328399999991063],Curled feet and stripes to the right,235.1227,236.1032,0,2,2,2,1,C,E,E_C.png,training,1,3,8,high,stripes,feet,E,W,C,F,68,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,068,2026-06-04_15h04.35.201,explain2,2025.1.1,Linux armv81,60.24096386,69f8cc3fc799fd0f70a9ebce,6a21d5d599f968bc9253a998,6a21d9fc3fb9ea1bd72f2209,,,,,,,,,,,,,,,,,,,,,,,236.1661,252.3809,1,[13.217499999999973],[13.217499999999973],Webbed feet and stripes to the right,252.3815,253.3702,0,3,3,3,1,F,E,E_F.png,training,1,4,10,high,stripes,feet,E,W,C,F,68,10_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
