consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,243.2351,261.8162,1,[15.583799999952362],[15.583799999952362],Because it had 4 kids live to be adults this past season?,261.8163,262.8159,0,4,4,4,1,C,W,W_C.png,training,2,5,4,low,stripes,feet,E,W,F,C,212,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,262.8196,281.7333,1,[15.916700000047683],[15.916700000047683],Because it had 6 kids live to adulthood this breeding cycle?,281.7335,282.7329,0,5,5,5,1,C,E,E_C.png,training,2,6,6,high,stripes,feet,E,W,F,C,212,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,282.7369,292.3889,1,[6.672200000047724],[6.672200000047724],It had 7 kids live to adults,292.389,293.3825,0,6,6,6,1,F,E,E_F.png,training,2,7,7,high,stripes,feet,E,W,F,C,212,7_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,293.3862,302.7492,1,[6.364100000023882],[6.364100000023882],4 kids lived to be adults,302.7492,303.7392,,,,,,,,,,,,,,,,,,,,,,,,303.7412,310.2384,1,[1.5008999999761272],[1.5008999999761272],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.2406,320.7542,,,No,9.6884,,,1,[0.8212000000477246],[0.8212000000477246],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7565,325.1217,,,No,3.6314,,,1,[0.7331999999284449],[0.7331999999284449],0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.1226,326.1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,W,W_F.png,training,2,8,4,low,stripes,feet,E,W,F,C,212,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,326.1186,397.5073,1,[68.40120000004771],[68.40120000004771],"up left/webbed feet (I did not notice that I was being shown different reptiles before, I thought they were all the same. I didn't catch the differences on my own.)",397.5074,398.5044,0,8,8,8,1,F,W,W_F.png,training,3,9,6,low,stripes,feet,E,W,F,C,212,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,2026-06-04_16h50.34.218,explain2,2025.1.1,Win32,60.24096386,6a07b6a519e27be50cf3659b,6a21d5d599f968bc9253a998,6a21e3839e6df8198337d2b2,,,,,,,,,,,,,,,,,,,,,,,398.5083,421.5712,1,[20.064100000023814],[20.064100000023814],more fertile than webbed-feet/up left,421.5712,422.5708,0,9,9,9,1,C,E,E_C.png,training,3,10,8,high,stripes,feet,E,W,F,C,212,8_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
