consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,402.9669,411.0723,1,[5.108299999952294],[5.108299999952294],Vertical at 6,0,[],[],411.0725,412.0698,0,11,11,11,1,C,E,E_C.png,training,3,12,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,412.0757,419.4903,1,[4.4235999999046385],[4.4235999999046385],Angled at 4,0,[],[],419.4905,420.4785,0,12,12,12,1,C,W,W_C.png,training,4,13,4,low,stripes,feet,E,W,F,C,12,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,420.4816,428.269,1,[4.796599999904629],[4.796599999904629],Vertical at 7,0,[],[],428.2694,429.268,0,13,13,13,1,C,E,E_C.png,training,4,14,7,high,stripes,feet,E,W,F,C,12,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,429.2734,437.1649,1,[4.90879999995235],[4.90879999995235],Vertical at 6,0,[],[],437.1651,438.1655,0,14,14,14,1,F,E,E_F.png,training,4,15,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,438.1689,451.4394,1,[10.275900000095362],[10.275900000095362],Angled at 2,0,[],[],451.4396,452.4353,0,15,15,15,1,F,W,W_F.png,training,4,16,2,low,stripes,feet,E,W,F,C,12,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.4358,458.8782,1,[3.448500000000024],[3.448500000000024],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,458.8929,498.2859,"[8,8,6,6]",1,[7.956299999952307],[7.9564000000953],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.2889,523.4307,5,22.3965,Yes,11.2448, Up/Right, Up/Right,16.9798,1,[2.7590000000000146],[2.7590000000000146],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.4346,537.738,,,No,13.219,,,,1,[1.1014000000953956],[1.1014000000953956],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.739,546.6341,0,[],[],0,[],[],1,[6.903900000095405],[6.903900000095405],0,[],[],,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.6347,567.28,6,13.6312,5,19.5018,1,[1.1389000000954184],[1.1389000000954184],,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,567.2806,597.8909,If there was I missed it,1,[29.61120000004769],[29.61129999995228],
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
