consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,138.153,158.474,1,[17.329000000000008],[17.329000000000008],This reptile’s feet curves up and to the right.,158.474,159.471,0,4,4,4,1,C,E,E_C.png,training,2,5,5,high,feet,stripes,C,F,W,E,101,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,159.478,174.883,1,[12.409999999999997],[12.409999999999997],This reptile’s feet is webbed and the toes curl up and to the left.,174.884,175.881,0,5,5,5,1,F,W,W_F.png,training,2,6,1,low,feet,stripes,C,F,W,E,101,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,175.891,188.994,1,[10.11099999999999],[10.11099999999999],This reptile’s feet is webbed and the toes curl up and to the left.,188.995,189.992,0,6,6,6,1,F,E,E_F.png,training,2,7,3,low,feet,stripes,C,F,W,E,101,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,189.999,220.349,1,[27.355000000000047],[27.355000000000047],This reptile does not have webbed feet and the toes curl up and to the right.,220.349,221.346,,,,,,,,,,,,,,,,,,,,,,,,221.356,226.92,1,[0.575999999999965],[0.575999999999965],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.922,236.547,,,No,6.4,,,1,[3.2239999999999895],[3.2239999999999895],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.552,250.652,5,12.814,Yes,7.169,1,12.132,1,[1.288000000000011],[1.288000000000011],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png, Curved/Pointy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.654,251.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,W,W_C.png,training,2,8,7,high,feet,stripes,C,F,W,E,101,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,251.654,262.197,1,[7.5499999999999545],[7.5499999999999545],This reptile has webbed feet.,262.198,263.194,0,8,8,8,1,F,E,E_F.png,training,3,9,1,low,feet,stripes,C,F,W,E,101,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,263.203,270.526,1,[4.33299999999997],[4.33299999999997],This reptile has webbed feet.,270.527,271.523,0,9,9,9,1,F,W,W_F.png,training,3,10,2,low,feet,stripes,C,F,W,E,101,2_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
