consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,394.1068,432.017,1,[34.91739999997617],[34.91739999997617],They have curly feet thus having a low fertility score,432.0173,433.0141,0,4,4,4,1,C,E,E_C.png,training,2,5,2,low,feet,stripes,F,C,E,W,171,2_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,433.0237,471.8295,1,[35.81299999999999],[35.81299999999999],The reason to this high fertility is webbed feet,471.8297,472.8265,0,5,5,5,1,F,E,E_F.png,training,2,6,8,high,feet,stripes,F,C,E,W,171,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,472.8363,505.7043,1,[29.875199999988126],[29.875199999988126],The reason to this low fertility is due to curly feet,505.7045,506.7014,0,6,6,6,1,C,W,W_C.png,training,2,7,1,low,feet,stripes,F,C,E,W,171,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,506.7094,556.5168,1,[46.81289999997625],[46.81289999997625],This reptile has webbed feet which explains this fertility rate,556.5169,557.5143,,,,,,,,,,,,,,,,,,,,,,,,557.5178,569.6607,1,[7.146100000023807],[7.146100000023807],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.6669,581.9532,,,No,10.8477,,,1,[1.43569999998806],[1.43569999998806],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.9628,601.828,7,9.0218,Yes,4.7928,0,17.8139,1,[2.0412999999523436],[2.041499999999928],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,Webbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.8317,602.8274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,W,W_F.png,training,2,8,5,high,feet,stripes,F,C,E,W,171,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,602.833,630.7258,1,[24.896000000000072],[24.896000000000072],This may be due to curly feet,630.7259,631.7234,0,8,8,8,1,C,W,W_C.png,training,3,9,6,low,feet,stripes,F,C,E,W,171,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,2026-06-04_16h47.33.758,explain2,2025.1.1,Win32,48.07692308,69e89e30304b005357b6b336,6a21d5d599f968bc9253a998,6a21e364ba92ab80f9be0a12,,,,,,,,,,,,,,,,,,,,,,,631.7318,652.434,1,[17.708899999976097],[17.708899999976097],This is due to webbed feet,652.4342,653.4309,0,9,9,9,1,F,W,W_F.png,training,3,10,3,high,feet,stripes,F,C,E,W,171,3_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
