consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,7.4409,7.4414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,7.4424,15.0741,1,[2.634700000047701],[2.634700000047701],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,15.0748,22.7108,1,[2.638300000071524],[2.638300000071524],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,22.7123,42.0477,1,[14.343100000023867],[14.343100000023867],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,42.0485,58.0208,1,[10.985000000000014],[10.985100000023863],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,,,,,,58.0338,176.9201,1,[115.89819999992847],[115.89819999992847],Stripes are vertical. Unwebbed feet.,176.9224,177.9219,0,0,0,0,1,C,E,E_C.png,training,1,1,4,low,stripes,feet,W,E,C,F,42,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,,,,,,177.9567,226.525,1,[45.62920000004766],[45.62939999997616],Diagonal stripes Webbed feetAverage fertility,226.5252,227.5235,0,1,1,1,1,F,W,W_F.png,training,1,2,4,high,stripes,feet,W,E,C,F,42,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,,,,,,227.5419,295.7129,1,[65.17610000002378],[65.17610000002378],Backward diagonal stripesWebbed feetLow fertility,295.7132,296.721,0,2,2,2,1,F,E,E_F.png,training,1,3,1,low,stripes,feet,W,E,C,F,42,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-06-04_13h05.41.938,explain2,2025.1.1,Win32,60.24096386,695ff4fe4f0d272093f0acb1,6a21d5d599f968bc9253a998,6a21d9a1f1f6668953f08150,,,,,,,,,,,,,,,,,,,,,,,296.7354,416.3861,1,[116.6583999999761],[116.6583999999761],Diagonal stripesNon webbed feetAverage Fertility ,416.3863,417.3781,0,3,3,3,1,C,W,W_C.png,training,1,4,5,high,stripes,feet,W,E,C,F,42,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
