consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,331.6445,372.776,1,[38.13310000002383],[38.13310000002383],The stripes are pointed down and the feet are less sharp.,372.7762,373.7756,0,4,4,4,1,F,E,E_F.png,training,2,5,4,low,stripes,feet,W,E,F,C,166,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,373.7787,396.7595,1,[19.983299999982137],[19.983299999982137],The stripes are going down and the feet are sharp.,396.7595,397.759,0,5,5,5,1,C,E,E_C.png,training,2,6,2,low,stripes,feet,W,E,F,C,166,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,397.7627,442.3931,1,[41.63300000000004],[41.633099999994045],The toes are rounded and the stripes are somewhat equal in measure to one another. ,442.3932,443.3924,0,6,6,6,1,F,W,W_F.png,training,2,7,6,high,stripes,feet,W,E,F,C,166,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,443.395,487.8436,1,[41.45030000001191],[41.45030000001191],Even though the stripes are somewhat equal in distance to one another the toes are a bit sharp.,487.8438,488.8424,,,,,,,,,,,,,,,,,,,,,,,,488.8436,500.3092,1,[6.466700000017909],[6.466700000017909],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3113,541.2339,5,39.105,Yes,14.8888,Up/Left,23.5937,1,[1.8170000000000073],[1.8170000000000073],Up/Left,0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.2376,570.1259,,,No,25.8048,,,1,[3.0828000000118436],[3.0828000000118436],,0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.1264,571.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,W,W_C.png,training,2,8,5,high,stripes,feet,W,E,F,C,166,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,571.1274,616.7929,1,[42.66650000000004],[42.66650000000004],Stripes appearing up and to the right with curved and pointed feet have a lower fertility score.,616.793,617.7928,0,8,8,8,1,C,E,E_C.png,training,3,9,2,low,stripes,feet,W,E,F,C,166,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,617.7944,662.5769,1,[41.783500000000004],[41.783500000000004],The stripes appearing up and to the left regardless if the feet are curved and pointy have a slightly higher fertility rate.,662.577,663.576,0,9,9,9,1,C,W,W_C.png,training,3,10,4,high,stripes,feet,W,E,F,C,166,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
