consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,238.8848,289.8434,1,[47.957799999952385],[47.95789999997612],it has curly feet and stripes angld up to the right,289.8447,290.8425,0,4,4,4,1,F,W,W_F.png,training,2,5,10,high,feet,stripes,F,C,W,E,151,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,290.8536,313.5006,1,[19.64770000004762],[19.64770000004762],it is not webbed,313.5011,314.4973,0,5,5,5,1,C,E,E_C.png,training,2,6,4,low,feet,stripes,F,C,W,E,151,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,314.5099,344.1887,1,[26.679699999988088],[26.679699999988088],looks angled to the right,344.1888,345.188,0,6,6,6,1,F,E,E_F.png,training,2,7,7,high,feet,stripes,F,C,W,E,151,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,345.1997,351.7631,1,[3.5643999999762173],[3.5643999999762173],nit webbed,351.7635,352.7672,,,,,,,,,,,,,,,,,,,,,,,,352.7731,358.7981,1,[1.0321999999880518],[1.0321999999880518],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.8031,417.7131,5,22.543,No,49.295,,,1,[9.606700000047681],[9.606700000047681],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.7296,437.6238,,,No,18.5522,,,1,[1.3424999999999727],[1.3424999999999727],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.6258,438.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,W,W_C.png,training,2,8,4,low,feet,stripes,F,C,W,E,151,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,438.6325,479.2327,1,[37.61090000003571],[37.61099999999999],it has curved feet,479.233,480.2349,0,8,8,8,1,C,W,W_C.png,training,3,9,1,low,feet,stripes,F,C,W,E,151,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,480.2455,491.9919,1,[8.753100000023892],[8.753100000023892],,491.9921,492.9903,0,9,9,9,1,F,W,W_F.png,training,3,10,5,high,feet,stripes,F,C,W,E,151,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
