consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,360.88,462.643,1,[98.76499999999993],[98.76499999999993],This reptile has the markers of what would previously have expected a higher fertility score with webbed feet and spines to the right. This lower score may be due to mating with a reptile that has a lower fertility score as well.,462.648,463.643,0,4,4,4,1,F,E,E_F.png,training,2,5,1,low,stripes,feet,W,E,F,C,154,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,463.646,508.699,1,[42.05600000000004],[42.05600000000004],"This reptile has spines that go up and to the right, boosting the fertility, however the pointed toes have been noted as causing lower fertility. ",508.705,509.699,0,5,5,5,1,C,E,E_C.png,training,2,6,5,low,stripes,feet,W,E,F,C,154,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,509.703,598.113,1,[85.41300000000001],[85.41300000000001],This reptile has the marks of one that would be expected to be low fertility with pointed toes and spines to the left. In this case there may be less to do with the spines and toes and some other feature that is causing the high fertility. ,598.119,599.113,0,6,6,6,1,C,W,W_C.png,training,2,7,7,high,stripes,feet,W,E,F,C,154,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,599.116,655.855,1,[53.740999999999985],[53.740999999999985],"This reptile has webbed feet and spines to the left, the webbed feet may be helping to boost the fertility in this case. ",655.859,656.854,,,,,,,,,,,,,,,,,,,,,,,,656.857,662.755,1,[0.9089999999999918],[0.9089999999999918],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.758,681.967,,,No,9.345,,,1,[9.86099999999999],[9.86099999999999],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.969,689.901,,,No,4.418,,,1,[3.5090000000000146],[3.5090000000000146],0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.901,690.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,W,W_F.png,training,2,8,6,high,stripes,feet,W,E,F,C,154,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,690.902,762.012,1,[68.11800000000005],[68.11800000000005],"In this case, it may be that pointed toes has a lower likely hood of producing a high fertility score. The spines up and to the right are consistent with positively affecting fertility. ",762.017,763.011,0,8,8,8,1,C,E,E_C.png,training,3,9,4,low,stripes,feet,W,E,F,C,154,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,763.015,809.577,1,[43.565000000000055],[43.565000000000055],"In this case, both of the aspects that may have shown high fertiltiy are not producing high fertility with webbed feet and spines to the right",809.583,810.577,0,9,9,9,1,F,E,E_F.png,training,3,10,4,low,stripes,feet,W,E,F,C,154,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
