consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,8.6724,8.6725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,8.6727,17.2759,1,[3.6044000000953673],[3.6044000000953673],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,17.2761,35.5451,1,[15.01409999990463],[15.01409999990463],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,35.5471,68.9819,1,[28.447900000095366],[28.447900000095366],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,68.9822,85.6355,1,[11.664900000095358],[11.664900000095358],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,,,,,,85.6401,172.8999,1,[84.26220000004768],[84.26220000004768],The webbed toes might help it attach to each other better,11,"[104.89180000019074,104.94180000019074,105.46140000009537,105.49440000009537,106.39320000004768,106.42820000004768,106.49320000004768,106.54530000019074,107.11220000004768,107.14610000014305,107.94500000000001]","[104.89180000019074,104.961,105.46140000009537,105.94420000004769,106.39320000004768,106.42820000004768,106.49320000004768,106.70980000019074,107.11220000004768,107.47780000019074,107.97810000014306]",172.9001,173.8978,0,0,0,0,1,F,W,W_F.png,training,1,1,5,high,feet,stripes,F,C,W,E,11,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,,,,,,173.9018,197.4242,1,[20.53789999985696],[20.53800000000001],the claws make it harder to mate,0,[],[],197.4244,198.4262,0,1,1,1,1,C,W,W_C.png,training,1,2,2,low,feet,stripes,F,C,W,E,11,2_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,,,,,,198.4288,237.2694,1,[35.855999999999995],[35.855999999999995],The claws make it harder to mate and the stripes are maybe less appealing,0,[],[],237.2695,238.268,0,2,2,2,1,C,E,E_C.png,training,1,3,3,low,feet,stripes,F,C,W,E,11,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-05-26_09h53.24.004,explain2,2025.1.1,Win32,59.88023952,69de8f3bde899f9d48624be8,6a1467432e19321b0c7d6ab2,6a15a5bd02388b953c030ce4,,,,,,,,,,,,,,,,,,,,,,,,,,238.2715,272.5738,1,[31.317900000095364],[31.317900000095364],it has a lot of stripes which may be more attractive and the webbed toes help it mate easier,0,[],[],272.5738,273.5758,0,3,3,3,1,F,E,E_F.png,training,1,4,6,high,feet,stripes,F,C,W,E,11,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
