consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,159.7359,178.7949,1,[16.067499999999995],[16.067499999999995],left angled is low,178.795,179.7923,0,4,4,4,1,F,W,W_F.png,training,2,5,1,low,feet,stripes,C,F,W,E,229,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,179.7973,192.6981,1,[9.907200000047652],[9.907200000047652],"earlier it was 3, ",192.6982,193.6952,0,5,5,5,1,C,E,E_C.png,training,2,6,8,high,feet,stripes,C,F,W,E,229,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,193.6991,214.4006,1,[17.705899999976168],[17.705899999976168],left long is 5,214.4007,215.3987,0,6,6,6,1,C,W,W_C.png,training,2,7,5,high,feet,stripes,C,F,W,E,229,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,215.4042,232.3533,1,[13.962899999976116],[13.962899999976116],i dont know,232.3535,233.3474,,,,,,,,,,,,,,,,,,,,,,,,233.3511,239.5761,1,[1.2333999999761431],[1.2333999999761431],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5802,255.2197,2,14.482,Yes,5.3476,Webbed,12.6325,1,[1.1553999999761686],[1.1553999999761686],Webbed,0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.2267,266.4581,2,10.5207,Yes,7.0427,1,8.9919,1,[0.7093999999761422],[0.7093999999761422], Up/Right,0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.4603,267.4571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,F,E,E_F.png,training,2,8,1,low,feet,stripes,C,F,W,E,229,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,267.4618,288.3642,1,[17.90930000007154],[17.90930000007154],this combo has varied alot,288.3645,289.3525,0,8,8,8,1,C,W,W_C.png,training,3,9,7,high,feet,stripes,C,F,W,E,229,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,2026-06-04_15h22.30.990,explain2,2025.1.1,Win32,60.60606061,69bc2554746193e2545192f6,6a21d5d599f968bc9253a998,6a21ec4f4d640699253f54c5,,,,,,,,,,,,,,,,,,,,,,,289.3603,321.2896,1,[28.93780000007149],[28.93780000007149],webbed would be lower,321.2903,322.2859,0,9,9,9,1,C,E,E_C.png,training,3,10,5,high,feet,stripes,C,F,W,E,229,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
