tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,4,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,73,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
N,B,S,N_B_S.png,training,1,2,3,high,shape,tail,color,S,C,N,T,H2,I1,H1,Y,B,73,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,B,S,T_B_S.png,training,1,3,6,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,73,6_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
N,B,C,N_B_C.png,training,1,4,3,medium,shape,tail,color,S,C,N,T,H2,I1,L1,Y,B,73,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
N,Y,S,N_Y_S.png,training,1,5,8,high,shape,tail,color,S,C,N,T,H2,I2,H1,Y,B,73,8_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,Y,C,T_Y_C.png,training,1,6,2,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,73,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,Y,S,T_Y_S.png,training,1,7,4,medium,shape,tail,color,S,C,N,T,L2,I2,H1,Y,B,73,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,B,C,T_B_C.png,training,1,8,3,low,shape,tail,color,S,C,N,T,L2,I1,L1,Y,B,73,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,Y,C,T_Y_C.png,training,2,9,3,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,73,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
T,B,S,T_B_S.png,training,2,10,6,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,73,6_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
N,Y,S,N_Y_S.png,training,2,11,7,high,shape,tail,color,S,C,N,T,H2,I2,H1,Y,B,73,7_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,medium,high,medium,low,low,high,medium"
