tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,7,low,shape,tail,color,S,C,T,N,L2,I2,L1,B,Y,143,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,B,S,T_B_S.png,training,1,2,10,high,shape,tail,color,S,C,T,N,H2,I1,H1,B,Y,143,10_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,B,C,N_B_C.png,training,1,3,3,low,shape,tail,color,S,C,T,N,L2,I1,L1,B,Y,143,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,B,S,N_B_S.png,training,1,4,4,medium,shape,tail,color,S,C,T,N,L2,I1,H1,B,Y,143,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,Y,S,T_Y_S.png,training,1,5,6,high,shape,tail,color,S,C,T,N,H2,I2,H1,B,Y,143,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,Y,S,N_Y_S.png,training,1,6,5,medium,shape,tail,color,S,C,T,N,L2,I2,H1,B,Y,143,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,B,C,T_B_C.png,training,1,7,6,medium,shape,tail,color,S,C,T,N,H2,I1,L1,B,Y,143,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,Y,C,T_Y_C.png,training,1,8,5,medium,shape,tail,color,S,C,T,N,H2,I2,L1,B,Y,143,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,B,S,N_B_S.png,training,2,9,3,medium,shape,tail,color,S,C,T,N,L2,I1,H1,B,Y,143,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,Y,C,N_Y_C.png,training,2,10,2,low,shape,tail,color,S,C,T,N,L2,I2,L1,B,Y,143,2_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,Y,S,N_Y_S.png,training,2,11,7,medium,shape,tail,color,S,C,T,N,L2,I2,H1,B,Y,143,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
N,B,C,N_B_C.png,training,2,12,3,low,shape,tail,color,S,C,T,N,L2,I1,L1,B,Y,143,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,Y,C,T_Y_C.png,training,2,13,4,medium,shape,tail,color,S,C,T,N,H2,I2,L1,B,Y,143,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,B,S,T_B_S.png,training,2,14,6,high,shape,tail,color,S,C,T,N,H2,I1,H1,B,Y,143,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,Y,S,T_Y_S.png,training,2,15,6,high,shape,tail,color,S,C,T,N,H2,I2,H1,B,Y,143,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,B,C,T_B_C.png,training,2,16,8,medium,shape,tail,color,S,C,T,N,H2,I1,L1,B,Y,143,8_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
T,Y,S,T_Y_S.png,training,3,17,4,high,shape,tail,color,S,C,T,N,H2,I2,H1,B,Y,143,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png","low,medium,low,medium,high,medium,medium,high"
