consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,300.793,337.094,1,[33.32000000000005],[33.32000000000005],The reptile has webbed feet which equal quicker movement and access to food,0,[],[],337.094,338.089,0,4,4,4,1,F,W,W_F.png,training,2,5,10,high,feet,stripes,F,C,E,W,15,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,338.093,361.587,1,[20.510999999999967],[20.510999999999967],Longer toes seems to contribute to average fertility,0,[],[],361.587,362.586,0,5,5,5,1,C,E,E_C.png,training,2,6,5,low,feet,stripes,F,C,E,W,15,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,362.59,374.925,1,[9.350999999999999],[9.350999999999999],Webbed feet,0,[],[],374.925,375.922,0,6,6,6,1,F,E,E_F.png,training,2,7,10,high,feet,stripes,F,C,E,W,15,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,375.926,435.059,1,[56.15100000000001],[56.15100000000001],"This reptile has longer toes but low fertility, which leads me to think that this is possibly environmental factors or health factors affecting fertility.",0,[],[],435.059,436.054,0,7,7,7,1,C,W,W_C.png,training,2,8,2,low,feet,stripes,F,C,E,W,15,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,436.058,470.499,1,[31.452999999999975],[31.452999999999975],"This reptile has webbed feet, which like the previous reptiles leads to high fertility",0,[],[],470.499,471.492,0,8,8,8,1,F,W,W_F.png,training,3,9,7,high,feet,stripes,F,C,E,W,15,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,471.496,490.693,1,[16.206999999999994],[16.206999999999994],"Again, webbed feet= high fertility
",0,[],[],490.694,491.691,0,9,9,9,1,F,E,E_F.png,training,3,10,8,high,feet,stripes,F,C,E,W,15,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,491.695,522.043,1,[27.368999999999915],[27.368999999999915],Longer Toes= environmental or health factors affecting fertility,0,[],[],522.043,523.039,0,10,10,10,1,C,E,E_C.png,training,3,11,1,low,feet,stripes,F,C,E,W,15,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,523.043,550.925,1,[24.897000000000048],[24.897000000000048],Longer toes seems to affect fertility: low,0,[],[],550.925,551.928,0,11,11,11,1,C,W,W_C.png,training,3,12,3,low,feet,stripes,F,C,E,W,15,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,551.932,563.324,1,[8.42999999999995],[8.42999999999995],Longer toes=low fertility,0,[],[],563.324,564.317,0,12,12,12,1,C,E,E_C.png,training,4,13,2,low,feet,stripes,F,C,E,W,15,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,564.321,579.599,1,[12.287000000000035],[12.287000000000035],Webbed feet= high fertility,2,"[564.981,567.158]","[565.075,567.278]",579.599,580.594,0,13,13,13,1,F,E,E_F.png,training,4,14,6,high,feet,stripes,F,C,E,W,15,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
