consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,607.0047,658.0843,1,[48.08739999999841],[48.08739999999841],this is because the big one  plus those 4little ones makes 5,1,[614],[614],658.0844,659.0809,0,4,4,4,1,F,W,W_F.png,training,2,5,5,low,stripes,feet,E,W,C,F,20,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,659.084,713.3014,1,[51.21970000000306],[51.21970000000306],its 10 because the big one had twins plus 4 visible kids,1,[665.7531999999956],[665.7868999999986],713.3015,714.2994,0,5,5,5,1,F,E,E_F.png,training,2,6,10,high,stripes,feet,E,W,C,F,20,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,714.3027,782.9389,1,[65.64060000000143],[65.64060000000143],its 7 because the big one popped out 6 kids but one died ,0,[],[],782.939,783.9344,0,6,6,6,1,C,W,W_C.png,training,2,7,7,low,stripes,feet,E,W,C,F,20,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,783.9379,842.9344,1,[56.01400000000001],[56.01400000000001],big one plus the 4 small ones but had 3 more that is not showing ,1,[790.4568999999985],[790.5397999999971],842.9344,843.9332,0,7,7,7,1,C,E,E_C.png,training,2,8,8,high,stripes,feet,E,W,C,F,20,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,843.9371,882.2767,1,[35.34460000000149],[35.34460000000149],because only 3 babies survived ,0,[],[],882.2768,883.2705,0,8,8,8,1,C,W,W_C.png,training,3,9,3,low,stripes,feet,E,W,C,F,20,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,883.2738,1000.7839,1,[114.52620000000297],[114.52620000000297],this is because the big one had 5 babies but 4 came later,0,[],[],1000.784,1001.7801,0,9,9,9,1,F,E,E_F.png,training,3,10,9,high,stripes,feet,E,W,C,F,20,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1001.7834,1053.9326,1,[49.15249999999992],[49.15249999999992],1 because the main reptile count ,0,[],[],1053.9327,1054.9315,0,10,10,10,1,F,W,W_F.png,training,3,11,1,low,stripes,feet,E,W,C,F,20,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1054.9357,1140.6572,1,[82.72710000000166],[82.72710000000166],because the big one plus those 4,1,[1073.8875],[1073.960299999997],1140.6572,1141.6548,0,11,11,11,1,C,E,E_C.png,training,3,12,5,high,stripes,feet,E,W,C,F,20,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1141.6585,1175.9175,1,[31.26360000000159],[31.26360000000159],the big one popped 6 out,1,[1146.4075],[1146.442299999997],1175.9175,1176.9151,0,12,12,12,1,F,E,E_F.png,training,4,13,7,high,stripes,feet,E,W,C,F,20,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1176.9186,1201.6669,1,[21.752699999995457],[21.752699999995457],3 babies survied,0,[],[],1201.6669,1202.6653,0,13,13,13,1,C,W,W_C.png,training,4,14,3,low,stripes,feet,E,W,C,F,20,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1202.669,1226.434,1,[20.76979999999685],[20.76979999999685],becase only 3 babies survied,0,[],[],1226.4341,1227.4335,0,14,14,14,1,F,W,W_F.png,training,4,15,3,low,stripes,feet,E,W,C,F,20,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,1227.4396,1255.6485,1,[25.21670000000313],[25.21670000000313],it popped out 6 kids,1,[1253.4051999999956],[1253.4051999999956],1255.6486,1256.648,0,15,15,15,1,C,E,E_C.png,training,4,16,7,high,stripes,feet,E,W,C,F,20,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.6485,1263.6267,1,[3.9812999999969634],[3.9812999999969634],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,W,W_C.png,training,1,1,5,low,stripes,feet,E,W,C,F,20,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,1263.6371,1297.6713,"[5,5,5,5]",1,[0.6485000000000127],[0.6485000000000127],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.6734,1321.5769,,,No,23.0709,,,1,[0.8491000000014992],[0.8491000000014992],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.5799,1338.578,,,No,16.0557,,,1,[0.9489000000060059],[0.9489000000060059],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.5783,1344.7078,1,[4.129699999995637],[4.129699999995637],0,[],[],0,[],[],0,[],[],,,,,,,,,,,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.709,1376.4038,2,27.8189,3,31.0583,1,[0.6323000000043066],[0.6323000000043066],,,,,,,
,020,2026-05-26_07h12.46.233,explain2,2025.1.1,Win32,60.60606061,6a0e229bc161ec0d3e07fb0d,6a1467432e19321b0c7d6ab2,6a15a9fa45cd0fbb24258a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1376.4041,1425.5062,nonother difference stood out,1,[48.10180000000446],[48.10180000000446]
