consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,294.2928,325.7106,1,[28.437000000000012],[28.437000000000012],There are more stipes being shown on reptile so that maybe contributed to a drop,1,[321.5567000000477],[321.6733999999762],325.7108,326.7046,0,4,4,4,1,F,E,E_F.png,training,2,5,7,low,stripes,feet,W,E,C,F,14,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,326.7143,357.5744,1,[27.867600000023856],[27.867600000023856],The reptiles body color looks more darker and less stripes,1,[351.10739999997617],[351.2408999999762],357.5749,358.5723,0,5,5,5,1,C,E,E_C.png,training,2,6,1,low,stripes,feet,W,E,C,F,14,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,358.5818,375.36,1,[13.78580000007156],[13.78580000007156],The reptile color looks brighter with less stripes,0,[],[],375.36,376.3562,0,6,6,6,1,C,W,W_C.png,training,2,7,5,high,stripes,feet,W,E,C,F,14,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,376.3656,401.5946,1,[22.237100000023815],[22.237100000023815],The reptile color again looks brighter with just a slight increase of stripes,1,[399.3123999999762],[399.442],401.5948,402.5915,0,7,7,7,1,F,W,W_F.png,training,2,8,8,high,stripes,feet,W,E,C,F,14,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,402.6043,431.826,1,[26.234199999928478],[26.234199999928478],The reptile color looks brighter and stripes are a little more spaced out,0,[],[],431.8268,432.8245,0,8,8,8,1,C,W,W_C.png,training,3,9,8,high,stripes,feet,W,E,C,F,14,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,432.837,472.795,1,[36.96760000002382],[36.96760000002382],"The reptile color is darker and stripes are going a different direction more ""upward"" ",1,[447.3435],[447.47680000007153],472.7952,473.7919,0,9,9,9,1,C,E,E_C.png,training,3,10,5,low,stripes,feet,W,E,C,F,14,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,473.7999,510.0488,1,[33.25400000000002],[33.25400000000002],The reptile stripes are spaced out but slight going downward,1,[477.0608999999762],[477.1782000000477],510.049,511.0435,0,10,10,10,1,F,W,W_F.png,training,3,11,4,high,stripes,feet,W,E,C,F,14,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,511.0538,528.8147,1,[14.767299999952343],[14.767299999952343],The reptile looks more darker with stripes going upward,0,[],[],528.815,529.8101,0,11,11,11,1,F,E,E_F.png,training,3,12,4,low,stripes,feet,W,E,C,F,14,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,529.8168,550.9804,1,[18.18079999995234],[18.18079999995234],reptile looks darker and stripes going upward,0,[],[],550.9806,551.9776,0,12,12,12,1,C,E,E_C.png,training,4,13,3,low,stripes,feet,W,E,C,F,14,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,551.9862,577.4643,1,[22.483800000071483],[22.483899999976188],stripes are more horizontal and brighter,0,[],[],577.4646,578.4618,0,13,13,13,1,C,W,W_C.png,training,4,14,4,high,stripes,feet,W,E,C,F,14,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
