consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,639.5146,671.8641,1,[29.365499999999997],[29.365499999999997],Slightly above average fertility rate due to ancestrynor climate.,1,[641.0177000000476],[641.2189999999999],671.8644,672.8629,0,11,11,11,1,C,E,E_C.png,training,3,12,6,high,stripes,feet,E,W,F,C,16,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,672.8693,715.6309,1,[39.76809999990462],[39.76809999990462],Healthy ancestry of fertility rate with favorable climate and plenty of available food.,1,[674.422600000143],[674.6012000000476],715.6312,716.6277,0,12,12,12,1,F,E,E_F.png,training,4,13,9,high,stripes,feet,E,W,F,C,16,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,716.6337,746.4974,1,[26.872600000143052],[26.872600000143052],High fertility rate with successful climate and necessary resources available.,1,[718.2664000000952],[718.466600000143],746.4978,747.4895,0,13,13,13,1,C,E,E_C.png,training,4,14,7,high,stripes,feet,E,W,F,C,16,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,747.496,792.007,1,[41.5147000000477],[41.5147000000477],"Bad climate conditions, lack of proper food availability and low ancestry of fertility.",1,[753.0324999999999],[753.2388000001906],792.0074,793.0105,0,14,14,14,1,F,W,W_F.png,training,4,15,3,low,stripes,feet,E,W,F,C,16,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,793.0181,829.8947,1,[33.88900000000001],[33.88900000000001],Unfavorable fertility conditions or below average fertility ancestry.,1,[797.6479999999999],[797.6814000000953],829.895,830.8882,0,15,15,15,1,C,W,W_C.png,training,4,16,4,low,stripes,feet,E,W,F,C,16,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.8892,837.1093,1,[3.220599999904607],[3.220599999904607],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,W,W_C.png,training,1,1,4,low,stripes,feet,E,W,F,C,16,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,837.1303,855.9749,"[6,8,4,5]",1,[2.1638999998569943],[2.1638999998569943],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.9775,871.2101,,,No,13.8988,,,1,[1.351100000142992],[1.3512000000476974],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.2152,882.5254,,,No,4.7953,,,1,[6.532399999857034],[6.532399999857034],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.526,893.0265,0,[],[],0,[],[],1,[8.49889999985703],[8.49889999985703],0,[],[],,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.0274,916.0361,4,21.7204,All the time - 7,16.8405,1,[6.165799999952355],[6.165799999952355],,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,916.0365,924.1209,,1,[7.082599999904687],[7.082599999904687],
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
