tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,6,high,tail,shape,color,N,T,S,C,H1,I1,H2,B,Y,47,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,S,N_B_S.png,training,1,2,5,high,tail,shape,color,N,T,S,C,H1,I2,H2,B,Y,47,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,C,N_B_C.png,training,1,3,6,medium,tail,shape,color,N,T,S,C,H1,I2,L2,B,Y,47,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,1,4,5,medium,tail,shape,color,N,T,S,C,H1,I1,L2,B,Y,47,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,1,5,5,medium,tail,shape,color,N,T,S,C,L1,I1,H2,B,Y,47,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,C,T_B_C.png,training,1,6,3,low,tail,shape,color,N,T,S,C,L1,I2,L2,B,Y,47,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,S,T_B_S.png,training,1,7,4,medium,tail,shape,color,N,T,S,C,L1,I2,H2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,1,8,4,low,tail,shape,color,N,T,S,C,L1,I1,L2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,2,9,8,high,tail,shape,color,N,T,S,C,H1,I1,H2,B,Y,47,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,C,T_B_C.png,training,2,10,4,low,tail,shape,color,N,T,S,C,L1,I2,L2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,2,11,4,medium,tail,shape,color,N,T,S,C,L1,I1,H2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,S,N_B_S.png,training,2,12,10,high,tail,shape,color,N,T,S,C,H1,I2,H2,B,Y,47,10_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,2,13,4,medium,tail,shape,color,N,T,S,C,H1,I1,L2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,C,N_B_C.png,training,2,14,8,medium,tail,shape,color,N,T,S,C,H1,I2,L2,B,Y,47,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,S,T_B_S.png,training,2,15,7,medium,tail,shape,color,N,T,S,C,L1,I2,H2,B,Y,47,7_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,2,16,5,low,tail,shape,color,N,T,S,C,L1,I1,L2,B,Y,47,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,3,17,8,high,tail,shape,color,N,T,S,C,H1,I1,H2,B,Y,47,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,3,18,3,low,tail,shape,color,N,T,S,C,L1,I1,L2,B,Y,47,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,3,19,4,medium,tail,shape,color,N,T,S,C,L1,I1,H2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,3,20,4,medium,tail,shape,color,N,T,S,C,H1,I1,L2,B,Y,47,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,S,T_B_S.png,training,3,21,6,medium,tail,shape,color,N,T,S,C,L1,I2,H2,B,Y,47,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,C,N_B_C.png,training,3,22,7,medium,tail,shape,color,N,T,S,C,H1,I2,L2,B,Y,47,7_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
T,B,C,T_B_C.png,training,3,23,2,low,tail,shape,color,N,T,S,C,L1,I2,L2,B,Y,47,2_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
N,B,S,N_B_S.png,training,3,24,6,high,tail,shape,color,N,T,S,C,H1,I2,H2,B,Y,47,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,high,medium,low,medium,medium,high,low"
