tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,4,medium,tail,shape,color,T,N,C,S,H1,I1,L2,Y,B,145,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,S,T_Y_S.png,training,1,2,4,medium,tail,shape,color,T,N,C,S,H1,I2,L2,Y,B,145,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,C,N_Y_C.png,training,1,3,5,medium,tail,shape,color,T,N,C,S,L1,I2,H2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,B,C,T_B_C.png,training,1,4,9,high,tail,shape,color,T,N,C,S,H1,I1,H2,Y,B,145,9_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,S,N_Y_S.png,training,1,5,3,low,tail,shape,color,T,N,C,S,L1,I2,L2,Y,B,145,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,C,N_B_C.png,training,1,6,4,medium,tail,shape,color,T,N,C,S,L1,I1,H2,Y,B,145,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,S,N_B_S.png,training,1,7,1,low,tail,shape,color,T,N,C,S,L1,I1,L2,Y,B,145,1_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,C,T_Y_C.png,training,1,8,5,high,tail,shape,color,T,N,C,S,H1,I2,H2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,C,N_B_C.png,training,2,9,4,medium,tail,shape,color,T,N,C,S,L1,I1,H2,Y,B,145,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,C,T_Y_C.png,training,2,10,7,high,tail,shape,color,T,N,C,S,H1,I2,H2,Y,B,145,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,B,C,T_B_C.png,training,2,11,6,high,tail,shape,color,T,N,C,S,H1,I1,H2,Y,B,145,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,S,N_B_S.png,training,2,12,3,low,tail,shape,color,T,N,C,S,L1,I1,L2,Y,B,145,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,C,N_Y_C.png,training,2,13,4,medium,tail,shape,color,T,N,C,S,L1,I2,H2,Y,B,145,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,S,T_Y_S.png,training,2,14,5,medium,tail,shape,color,T,N,C,S,H1,I2,L2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,B,S,T_B_S.png,training,2,15,5,medium,tail,shape,color,T,N,C,S,H1,I1,L2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,S,N_Y_S.png,training,2,16,5,low,tail,shape,color,T,N,C,S,L1,I2,L2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,S,N_B_S.png,training,3,17,1,low,tail,shape,color,T,N,C,S,L1,I1,L2,Y,B,145,1_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,S,N_Y_S.png,training,3,18,2,low,tail,shape,color,T,N,C,S,L1,I2,L2,Y,B,145,2_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,B,C,T_B_C.png,training,3,19,8,high,tail,shape,color,T,N,C,S,H1,I1,H2,Y,B,145,8_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,B,S,T_B_S.png,training,3,20,3,medium,tail,shape,color,T,N,C,S,H1,I1,L2,Y,B,145,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,Y,C,N_Y_C.png,training,3,21,5,medium,tail,shape,color,T,N,C,S,L1,I2,H2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,C,T_Y_C.png,training,3,22,6,high,tail,shape,color,T,N,C,S,H1,I2,H2,Y,B,145,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
T,Y,S,T_Y_S.png,training,3,23,6,medium,tail,shape,color,T,N,C,S,H1,I2,L2,Y,B,145,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
N,B,C,N_B_C.png,training,3,24,5,medium,tail,shape,color,T,N,C,S,L1,I1,H2,Y,B,145,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","medium,high,medium,high,medium,medium,low,low"
