,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.827,0.462,1.790,0.073,-0.079,1.732
task[T.predict],-0.731,0.639,-1.143,0.253,-1.984,0.522
wing_relevant,0.777,0.615,1.262,0.207,-0.429,1.983
task[T.predict]:wing_relevant,-0.062,0.910,-0.068,0.946,-1.846,1.722
wing_high,1.673,0.652,2.565,0.010,0.395,2.951
task[T.predict]:wing_high,0.231,0.913,0.253,0.800,-1.558,2.020
wing_relevant:wing_high,0.858,0.917,0.936,0.349,-0.939,2.654
task[T.predict]:wing_relevant:wing_high,-0.515,1.279,-0.403,0.687,-3.022,1.991
Group Var,5.569,,,,,
