,coef,std_err,z,p_value,conf_low,conf_high
Intercept,-0.07696104113612795,0.27755546659548297,-0.2772816622210259,0.7815638391617304,-0.6209597593754845,0.4670376771032287
task[T.predict],-0.2331938871677123,0.3947466476424014,-0.5907431730210948,0.5546925159572493,-1.0068830995647422,0.5404953252293175
intuitive_relevance,-0.5049605043135931,0.39884881934172367,-1.2660448767204588,0.20549701599419823,-1.286689825499694,0.2767688168725079
task[T.predict]:intuitive_relevance,0.8528557606002807,0.5597917782325322,1.523523198738393,0.12762786125277736,-0.2443159635771155,1.9500274847776768
intuitive_direction,-3.347119737587951e-16,0.3925227051701255,-8.527200321156599e-16,0.9999999999999993,-0.7693303652476804,0.7693303652476797
task[T.predict]:intuitive_direction,-0.15984870094189446,0.5604569143671542,-0.28521139956385283,0.7754821873287479,-1.258324067987966,0.9386266661041769
intuitive_relevance:intuitive_direction,0.427770865622463,0.5599092516723368,0.7640003524585405,0.44486703255984716,-0.6696311022660901,1.5251728335110162
task[T.predict]:intuitive_relevance:intuitive_direction,-0.8577310749634557,0.7949650518388394,-1.078954443317265,0.2806080367732088,-2.415833945535598,0.7003717956086866
