,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.290,0.116,2.496,0.013,0.062,0.517
task[T.predict],-0.413,0.164,-2.518,0.012,-0.735,-0.092
feature_relevance[T.relevant],0.265,0.156,1.702,0.089,-0.040,0.571
task[T.predict]:feature_relevance[T.relevant],0.423,0.221,1.918,0.055,-0.009,0.855
Group Var,0.026,0.097,,,,
