consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,584.0793,620.063,1,[32.98840000000041],[32.98840000000041],this reptile received a fertility score of 10 because of its healthy appearance and survival capabilities,620.0631,620.5612,0,4,4,4,1,C,G,G_C.png,training,2,5,10,high,feet,color,C,F,G,Y,5,10_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,620.5635,667.1682,1,[43.608799999999746],[43.608799999999746],this reptile received a fertility score of 1 because it is less capable than the other reptiles observed so it may have a more difficult time reproducing and surviving,667.1683,667.6665,0,5,5,5,1,F,Y,Y_F.png,training,2,6,1,low,feet,color,C,F,G,Y,5,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,667.6679,707.9008,1,[37.2410000000001],[37.2410000000001],this reptile received a fertility score of 6 because it has average capabilities to defend itself and survive and thus maintain average health,707.9009,708.3977,0,6,6,6,1,C,Y,Y_C.png,training,2,7,6,high,feet,color,C,F,G,Y,5,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,708.3999,735.8376,1,[24.441499999999905],[24.441499999999905],this reptile received a fertility score of 6 because of its average abilities and appearance ,735.8377,736.3369,0,7,7,7,1,F,G,G_F.png,training,2,8,6,low,feet,color,C,F,G,Y,5,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,736.3397,764.697,1,[25.358200000000238],[25.358200000000238],this reptiles claws make it more survivable and capable of taking care of itself,764.6972,765.1945,0,8,8,8,1,C,G,G_C.png,training,3,9,7,high,feet,color,C,F,G,Y,5,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,765.1976,808.0707,1,[39.876199999999244],[39.87629999999979],this reptile is less capable of keeping itself safe so it has a harder time staying very healthy,808.0707,808.5632,0,9,9,9,1,F,G,G_F.png,training,3,10,4,low,feet,color,C,F,G,Y,5,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,808.5657,847.0699,1,[35.50800000000004],[35.50800000000004],this reptile has low defenses and stands out more compared to other reptiles so it has a harder time mating,847.0699,847.5719,0,10,10,10,1,F,Y,Y_F.png,training,3,11,1,low,feet,color,C,F,G,Y,5,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,847.5735,909.453,1,[58.88760000000059],[58.88760000000059],this reptile while more capable of survival is still flamboyant in appearance which may not appeal to other reptiles,909.4531,909.9462,0,11,11,11,1,C,Y,Y_C.png,training,3,12,5,high,feet,color,C,F,G,Y,5,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,909.9482,918.2091,1,[5.264799999999809],[5.264799999999809],this reptile is less capable of defense,918.2092,918.7081,0,12,12,12,1,F,Y,Y_F.png,training,4,13,3,low,feet,color,C,F,G,Y,5,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,918.7101,941.2916,1,[19.6002000000002],[19.6002000000002],this reptile appears very healthy and capable of keeping itself healthy,941.2916,941.7846,0,13,13,13,1,C,Y,Y_C.png,training,4,14,10,high,feet,color,C,F,G,Y,5,10_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,941.7878,964.5434,1,[19.759899999999448],[19.759899999999448],this reptile is very capable of keep itself healthy and defending itself,964.5434,965.0426,0,14,14,14,1,C,G,G_C.png,training,4,15,8,high,feet,color,C,F,G,Y,5,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,965.0454,978.8882,1,[10.861900000000333],[10.861900000000333],this reptile has trouble surviving and taking care of itself ,978.8883,979.3877,0,15,15,15,1,F,G,G_F.png,training,4,16,1,low,feet,color,C,F,G,Y,5,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.3882,983.3695,1,[0.9829999999999472],[0.9829999999999472],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,Y_C.png,training,1,1,9,high,feet,color,C,F,G,Y,5,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,983.3838,998.848,"[9,3,5,8]",1,[7.081000000000017],[7.081000000000017],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.8519,1016.8918,,,No,13.887,,,1,[4.165400000000318],[4.165400000000318],0,0,0,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.8969,1025.6795,6,7.7991,Yes,1.6172,0,5.2335,1,[1.0014000000003307],[1.0014000000003307],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,Curly/Pointy,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.6801,1030.1037,0,[],[],0,[],[],1,[2.4322000000001935],[2.4322000000001935],0,[],[],,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.1039,1040.9842,,1,[9.88009999999963],[9.88009999999963],
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
