consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,293.612,315.456,1,[18.850000000000023],[18.850000000000023],other than red no idea,315.456,315.955,0,13,13,13,1,C,Y,Y_C.png,training,4,14,1,low,color,feet,G,Y,F,C,18,1_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,315.959,332.523,1,[13.567000000000007],[13.567000000000007],green happy not sure what else,332.523,333.022,0,14,14,14,1,F,G,G_F.png,training,4,15,7,high,color,feet,G,Y,F,C,18,7_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,333.029,369.589,1,[33.565999999999974],[33.565999999999974],that strip on the back leg is no longer there but a scale is now there...mabye? eyes also seem differently sized,369.59,370.088,0,15,15,15,1,C,G,G_C.png,training,4,16,9,high,color,feet,G,Y,F,C,18,9_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.089,373.872,1,[0.7819999999999823],[0.7819999999999823],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,G,G_F.png,training,1,1,5,high,color,feet,G,Y,F,C,18,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,373.889,398.522,"[7,4,1,9]",1,[1.066000000000031],[1.066000000000031],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.528,425.405,5,15.122,Yes,9.932,Green,Green,24.716,1,[2.165999999999997],[2.165999999999997],0,0,0,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.409,429.422,,,No,2.793,,,,1,[1.2340000000000373],[1.2340000000000373],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.423,433.422,0,[],[],0,[],[],1,[2],[2],0,[],[],,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.423,463.14,lots of second guessing myself but this was entertaining. good luck with your project,1,[28.71799999999996],[28.71799999999996],
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
