consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,142.505,146.996,1,[1.5149999999999864],[1.5149999999999864],,0,[],[],146.997,147.996,0,4,4,4,1,C,E,E_C.png,training,2,5,10,high,stripes,feet,E,W,C,F,12,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,148.006,152.68,1,[1.6839999999999975],[1.6839999999999975],,0,[],[],152.681,153.68,0,5,5,5,1,F,W,W_F.png,training,2,6,1,low,stripes,feet,E,W,C,F,12,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,153.69,169.334,1,[12.652999999999992],[12.652999999999992],They all look the same ,2,"[160.86900000000003,161.58500000000004]","[160.95300000000003,161.62]",169.334,170.333,0,6,6,6,1,F,E,E_F.png,training,2,7,8,high,stripes,feet,E,W,C,F,12,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,170.343,192.919,1,[19.586000000000013],[19.586000000000013],,1,[171.872],[171.872],192.92,193.92,0,7,7,7,1,C,W,W_C.png,training,2,8,4,low,stripes,feet,E,W,C,F,12,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.921,204.023,1,[7.119],[7.119],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,9,high,stripes,feet,E,W,C,F,12,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,204.039,216.908,"[3,5,4,5]",1,[0.6100000000000136],[0.6100000000000136],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.913,230.926,,,No,13.265,,,1,[0.7649999999999864],[0.7649999999999864],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.934,250.45,4,9.447,Yes,2.063,0,18.915,1,[0.6189999999999714],[0.6189999999999714],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,Webbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.451,256.566,0,[],[],0,[],[],1,[4.117999999999995],[4.117999999999995],0,[],[],,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.567,278.319,All the time - 7,17.119,2,21.119,1,[0.6300000000000523],[0.6300000000000523],,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,278.319,388.405,"It was very hard to zoom and see the frogs in this, the study also had no back button so when trying to examine the frogs it would move to the next question. I feel if there was a back button I would have been able to complete this with ease.",1,[109.08499999999998],[109.08499999999998],
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
