consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,287.6327,309.082,1,[18.466099999999983],[18.466099999999983],Vertical stripe reptiles have higher fertility,1,[291.4008],[291.4671],309.0823,310.0801,0,4,4,4,1,C,E,E_C.png,training,2,5,7,high,feet,stripes,C,F,W,E,17,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,310.0887,325.7473,1,[12.666099999999972],[12.666099999999972],Horizontal stripe reptils have higher fertility,1,[311.77799999999996],[311.83660000000003],325.7475,326.747,0,5,5,5,1,C,W,W_C.png,training,2,6,8,high,feet,stripes,C,F,W,E,17,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,326.7541,466.0618,1,[137.66750000000002],[137.66750000000002],Reptiles with vertical stripes appear to have low fertility,1,[436.8942],[436.8942],466.062,467.0557,0,6,6,6,1,F,E,E_F.png,training,2,7,3,low,feet,stripes,C,F,W,E,17,3_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,467.0645,507.6731,1,[37.62149999999991],[37.62149999999991],The horizontal stripe pattern indicates somewhat high fertility rates,1,[486.42509999999993],[486.5253999999999],507.6732,508.6715,0,7,7,7,1,F,W,W_F.png,training,2,8,6,low,feet,stripes,C,F,W,E,17,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.6729,513.1502,1,[1.479600000000005],[1.479600000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,W,W_F.png,training,1,1,7,low,feet,stripes,C,F,W,E,17,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,513.1884,526.3549,"[8,5,4,7]",1,[1.1002000000000862],[1.1002000000000862],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.3753,540.2534,6,12.9617,Yes,6.0902, Up/Right, Up/Right,10.2606,1,[0.9328000000000429],[0.9328000000000429],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.2606,551.9362,,,No,10.2604,,,,1,[1.4266000000000076],[1.4266000000000076],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.9371,556.2534,0,[],[],0,[],[],1,[2.314999999999941],[2.315099999999916],0,[],[],,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.2548,570.4013,5,11.7089,4,13.4247,1,[0.7149999999999181],[0.7149999999999181],,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,570.4018,591.7184,Thought provoking,1,[20.331100000000106],[20.33120000000008],
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
