consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,183.307,198.199,1,[11.900000000000006],[11.900000000000006],horizontal stripes and small leaf,1,[185.445],[185.52599999999998],198.202,199.2,0,4,4,4,1,F,W,W_F.png,training,2,5,5,low,feet,stripes,C,F,E,W,1,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,199.207,207.95,1,[5.75],[5.75],vertical stripes and big leaf,0,[],[],207.953,208.95,0,5,5,5,1,C,E,E_C.png,training,2,6,7,high,feet,stripes,C,F,E,W,1,7_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,208.957,224.183,1,[12.232999999999976],[12.232999999999976],horizontal stripes and big food,0,[],[],224.186,225.183,0,6,6,6,1,C,W,W_C.png,training,2,7,6,high,feet,stripes,C,F,E,W,1,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,225.186,234.083,1,[5.900000000000034],[5.900000000000034],vertical stripes and smaller food,0,[],[],234.087,235.083,0,7,7,7,1,F,E,E_F.png,training,2,8,5,low,feet,stripes,C,F,E,W,1,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.089,241.383,1,[3.3000000000000114],[3.3000000000000114],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,7,high,feet,stripes,C,F,E,W,1,7_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,241.396,260.132,"[5,7,4,5]",1,[4.199000000000012],[4.199000000000012],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.137,271.816,,,No,10.225,,,1,[1.4669999999999845],[1.4669999999999845],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.823,287.316,5,14.862,Yes,3.356,1,9.984,1,[0.6490000000000009],[0.6490000000000009],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png, Up/Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.317,293.467,0,[],[],0,[],[],1,[4.150000000000091],[4.150000000000091],0,[],[],,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.467,317.749,All the time - 7,17.82,4,23.755,1,[0.5169999999999959],[0.5169999999999959],,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,317.749,342.934,The size of the leaf next to their feet,1,[24.19999999999999],[24.19999999999999],
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
