consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,31.5533,31.5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,31.5552,52.839,1,[16.28519999998808],[16.28519999998808],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,52.8398,82.755,1,[24.91719999998807],[24.91719999998807],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,82.762,106.8387,1,[19.083300000011917],[19.083300000011917],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,106.8396,132.3066,1,[20.46789999997614],[20.46789999997614],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,,,,,,132.3324,202.2099,1,[66.88499999999999],[66.88499999999999],This is because it has more reproduction features.                                               ,0,[],[],202.2109,203.2063,0,0,0,0,1,C,W,W_C.png,training,1,1,9,high,feet,stripes,C,F,W,E,29,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,,,,,,203.2208,230.4596,1,[24.250699999988115],[24.250699999988115],This is because of it's appearance.,0,[],[],230.4598,231.4566,0,1,1,1,1,C,E,E_C.png,training,1,2,9,high,feet,stripes,C,F,W,E,29,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,,,,,,231.4695,250.4763,1,[16.016599999964228],[16.016599999964228],It seems to be less fertile.,0,[],[],250.4767,251.4736,0,2,2,2,1,F,E,E_F.png,training,1,3,5,low,feet,stripes,C,F,W,E,29,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,029,2026-05-29_12h55.12.944,explain2,2025.1.1,Win32,60.24096386,6a1351eeff60583a9dec821f,6a19bbb7c5caefa1d95dc8c3,6a19c4b6ec09cc33a27cf099,,,,,,,,,,,,,,,,,,,,,,,,,,251.4857,290.7439,1,[36.26750000000004],[36.26750000000004],This is because the fertility depends on the weather around the animal.,0,[],[],290.7443,291.741,0,3,3,3,1,F,W,W_F.png,training,1,4,5,low,feet,stripes,C,F,W,E,29,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
