consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,13.622,13.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,13.624,26.683,1,[8.076999999999998],[8.076999999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,26.684,41.897,1,[10.223999999999997],[10.223999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,41.906,78.909,1,[32.01999999999999],[32.01999999999999],2,"[76.83999999999999,78.06299999999999]","[76.92299999999999,78.15499999999999]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,78.91,94.757,1,[10.853000000000009],[10.853000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,,,,,,94.766,147.372,1,[49.611000000000004],[49.611000000000004],The reptile has thin stripes,1,[133.621],[133.74300000000002],147.373,148.368,0,0,0,0,1,C,W,W_C.png,training,1,1,1,low,stripes,feet,E,W,C,F,28,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,,,,,,148.379,179.544,1,[28.176999999999992],[28.176999999999992],Stripes go further down body,0,[],[],179.545,180.549,0,1,1,1,1,C,E,E_C.png,training,1,2,9,high,stripes,feet,E,W,C,F,28,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,,,,,,180.559,201.846,1,[18.296999999999997],[18.296999999999997],This reptile is lighter in color,0,[],[],201.847,202.848,0,2,2,2,1,F,W,W_F.png,training,1,3,4,low,stripes,feet,E,W,C,F,28,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2026-05-29_12h54.22.757,explain2,2025.1.1,iPhone,47.61904762,69fd3ebf202c5ed4c763ca33,6a19bbb7c5caefa1d95dc8c3,6a19c4a570cf659913233017,,,,,,,,,,,,,,,,,,,,,,,,,,202.858,225.275,1,[19.5],[19.5],This reptile is darker and thicker with stripes ,0,[],[],225.276,226.28,0,3,3,3,1,F,E,E_F.png,training,1,4,7,high,stripes,feet,E,W,C,F,28,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
