consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,333.0528,344.6235,1,[8.580000000000041],[8.580000000000041],Square frame and blue. ,344.6237,345.1201,0,12,12,12,1,N,B,S,N_B_S.png,training,2,13,5,medium,2,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,345.126,355.8067,1,[7.696200000047668],[7.696200000047668],Square frame and yellow. ,355.807,356.3045,0,13,13,13,1,N,Y,S,N_Y_S.png,training,2,14,6,medium,2,6_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,356.3112,364.6032,1,[5.308999999999969],[5.308999999999969],Round frame yellow. ,364.6034,365.1029,0,14,14,14,1,T,Y,C,T_Y_C.png,training,2,15,6,medium,2,6_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,365.1082,378.1979,1,[10.101600000143037],[10.101700000047686],Blue and round frame or body. ,378.1983,378.692,0,15,15,15,1,N,B,C,N_B_C.png,training,2,16,4,low,2,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,378.7003,393.7899,1,[12.10490000009537],[12.10490000009537],Rectangle body yellow. ,393.7922,394.2842,0,16,16,16,1,N,Y,S,N_Y_S.png,training,3,17,4,medium,2,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,394.2931,414.1876,1,[16.912000000000035],[16.912000000000035],Yellow and rectangle body frame. ,414.1878,414.6855,0,17,17,17,1,T,Y,S,T_Y_S.png,training,3,18,8,high,2,8_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,414.6925,427.8389,1,[10.150400000095374],[10.160100000143075],Round frame yellow with a tail.,427.8392,428.3415,0,18,18,18,1,T,Y,C,T_Y_C.png,training,3,19,5,medium,2,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,428.3531,444.0586,1,[12.725499999999954],[12.725499999999954],Rectangle body blue no tail. ,444.0589,444.5494,0,19,19,19,1,N,B,S,N_B_S.png,training,3,20,6,medium,2,6_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,444.5535,460.5014,1,[12.961299999952303],[12.961299999952303],Rectangle body blue and a tail. ,460.5018,460.9939,0,20,20,20,1,T,B,S,T_B_S.png,training,3,21,5,high,2,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,461.0012,471.5369,1,[7.551500000000033],[7.551500000000033],Round frame yellow no tail.,471.5371,472.0281,0,21,21,21,1,N,Y,C,N_Y_C.png,training,3,22,2,low,2,2_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
