feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,low,feet,stripes,F,C,E,W,51,4_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
C,W,W_C.png,training,1,2,3,low,feet,stripes,F,C,E,W,51,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
F,E,E_F.png,training,1,3,10,high,feet,stripes,F,C,E,W,51,10_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
F,W,W_F.png,training,1,4,6,high,feet,stripes,F,C,E,W,51,6_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
F,W,W_F.png,training,2,5,7,high,feet,stripes,F,C,E,W,51,7_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
C,E,E_C.png,training,2,6,3,low,feet,stripes,F,C,E,W,51,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
F,E,E_F.png,training,2,7,9,high,feet,stripes,F,C,E,W,51,9_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
C,W,W_C.png,training,2,8,3,low,feet,stripes,F,C,E,W,51,3_score.png,"Resources/E_F.png,Resources/W_F.png,Resources/E_C.png,Resources/W_C.png","high,high,low,low"
