feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,7,low,feet,stripes,C,F,W,E,13,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,1,2,8,high,feet,stripes,C,F,W,E,13,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,1,3,8,high,feet,stripes,C,F,W,E,13,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,1,4,4,low,feet,stripes,C,F,W,E,13,4_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
C,W,W_C.png,training,2,5,7,high,feet,stripes,C,F,W,E,13,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
F,E,E_F.png,training,2,6,3,low,feet,stripes,C,F,W,E,13,3_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
C,E,E_C.png,training,2,7,6,high,feet,stripes,C,F,W,E,13,6_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
F,W,W_F.png,training,2,8,1,low,feet,stripes,C,F,W,E,13,1_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_F.png,Resources/E_C.png","high,low,low,high"
