feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,5,low,stripes,feet,E,W,C,F,4,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,1,2,9,high,stripes,feet,E,W,C,F,4,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,1,3,1,low,stripes,feet,E,W,C,F,4,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,1,4,4,high,stripes,feet,E,W,C,F,4,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,W,W_C.png,training,2,5,4,low,stripes,feet,E,W,C,F,4,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,E,E_F.png,training,2,6,8,high,stripes,feet,E,W,C,F,4,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
C,E,E_C.png,training,2,7,5,high,stripes,feet,E,W,C,F,4,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
F,W,W_F.png,training,2,8,4,low,stripes,feet,E,W,C,F,4,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,high,high,low"
