tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,4,high,shape,tail,color,S,C,N,T,H2,I1,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,B,C,T_B_C.png,training,1,2,5,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,14,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,3,4,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,4,4,medium,shape,tail,color,S,C,N,T,H2,I1,L1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,B,C,N_B_C.png,training,1,5,5,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,14,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,B,S,N_B_S.png,training,1,6,8,high,shape,tail,color,S,C,N,T,H2,I2,H1,Y,B,14,8_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,B,S,T_B_S.png,training,1,7,4,medium,shape,tail,color,S,C,N,T,L2,I2,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,8,4,low,shape,tail,color,S,C,N,T,L2,I1,L1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,B,S,N_B_S.png,training,2,9,3,high,shape,tail,color,S,C,N,T,H2,I2,H1,Y,B,14,3_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,B,S,T_B_S.png,training,2,10,4,medium,shape,tail,color,S,C,N,T,L2,I2,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,2,11,7,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,14,7_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,2,12,1,low,shape,tail,color,S,C,N,T,L2,I1,L1,Y,B,14,1_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
T,B,C,T_B_C.png,training,2,13,1,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,14,1_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,B,C,N_B_C.png,training,2,14,2,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,14,2_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,2,15,6,medium,shape,tail,color,S,C,N,T,H2,I1,L1,Y,B,14,6_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium"
