tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,7,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,11,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,1,2,4,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,1,3,7,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,11,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,1,4,7,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,11,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,1,5,3,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,11,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,1,6,5,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,11,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,1,7,4,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,C,N_B_C.png,training,1,8,8,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,11,8_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,Y,S,N_Y_S.png,training,2,9,4,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,2,10,7,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,11,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,2,11,4,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,2,12,3,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,11,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,2,13,8,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,11,8_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,2,14,6,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,11,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,2,15,1,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,11,1_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,C,N_B_C.png,training,2,16,7,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,11,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,C,N_B_C.png,training,3,17,8,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,11,8_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,3,18,5,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,11,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,3,19,4,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,3,20,3,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,11,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,3,21,5,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,11,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,3,22,4,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,11,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
N,Y,S,N_Y_S.png,training,3,23,5,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,11,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,3,24,6,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,11,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_C.png","low,low,high,high,medium,medium,medium,medium"
